order_id,customer_id,order_date,due_date,order_status,order_total,delivery_status,delay_reason_id,root_cause_id,category,description,severity_level
177,6138,2025-04-01,2025-04-02,Completed,12218.62,On-Time,5,5,Vendor,Vendor Delay,High
178,18159,2025-06-06,2025-06-07,Completed,5313.6,On-Time,5,5,Vendor,Vendor Delay,High
186,2624,2024-08-10,2024-08-14,Completed,2026.91,On-Time,5,5,Vendor,Vendor Delay,High
198,1816,2024-09-04,2024-09-09,Completed,4206.81,On-Time,5,5,Vendor,Vendor Delay,High
202,13307,2025-05-30,2025-06-01,Completed,7881.58,On-Time,5,5,Vendor,Vendor Delay,High
205,1659,2024-09-05,2024-09-08,Completed,6106.38,On-Time,5,5,Vendor,Vendor Delay,High
206,6221,2024-11-26,2024-11-30,Completed,8481.55,On-Time,5,5,Vendor,Vendor Delay,High
207,7889,2024-09-20,2024-09-24,Cancelled,5534.71,Lost,5,5,Vendor,Vendor Delay,High
214,16624,2024-09-10,2024-09-13,Cancelled,5567.67,Lost,5,5,Vendor,Vendor Delay,High
216,5588,2025-06-18,2025-06-19,Completed,6673.6,On-Time,5,5,Vendor,Vendor Delay,High
219,17219,2024-08-01,2024-08-03,Completed,6382.68,On-Time,5,5,Vendor,Vendor Delay,High
221,16024,2024-11-04,2024-11-07,Completed,6060.45,On-Time,5,5,Vendor,Vendor Delay,High
231,14015,2024-12-20,2024-12-23,Completed,4424.14,On-Time,5,5,Vendor,Vendor Delay,High
238,14479,2024-10-12,2024-10-17,Completed,6471.3,On-Time,5,5,Vendor,Vendor Delay,High
239,14969,2024-08-29,2024-08-31,Completed,7517.98,On-Time,5,5,Vendor,Vendor Delay,High
240,7141,2025-04-15,2025-04-16,Completed,4221.13,On-Time,5,5,Vendor,Vendor Delay,High
245,2205,2024-07-17,2024-07-21,Completed,640.54,On-Time,5,5,Vendor,Vendor Delay,High
247,7763,2024-07-29,2024-07-31,Completed,8171.06,On-Time,5,5,Vendor,Vendor Delay,High
248,18243,2024-12-02,2024-12-04,Completed,2761.51,On-Time,5,5,Vendor,Vendor Delay,High
259,16362,2024-11-11,2024-11-16,Completed,9760.76,On-Time,5,5,Vendor,Vendor Delay,High
261,2436,2025-03-08,2025-03-10,Completed,604.16,On-Time,5,5,Vendor,Vendor Delay,High
263,549,2024-07-31,2024-08-05,Completed,5810.12,On-Time,5,5,Vendor,Vendor Delay,High
264,3507,2025-03-29,2025-04-01,Completed,2666.41,On-Time,5,5,Vendor,Vendor Delay,High
275,5054,2025-02-07,2025-02-09,Completed,4753.99,On-Time,5,5,Vendor,Vendor Delay,High
279,18335,2025-04-10,2025-04-11,Completed,7584.22,On-Time,5,5,Vendor,Vendor Delay,High
280,8812,2024-11-02,2024-11-07,Completed,3335.42,On-Time,5,5,Vendor,Vendor Delay,High
284,15697,2024-12-19,2024-12-23,Completed,3551.82,On-Time,5,5,Vendor,Vendor Delay,High
296,12963,2024-09-20,2024-09-23,Completed,7061.32,On-Time,5,5,Vendor,Vendor Delay,High
298,3735,2025-04-22,2025-04-23,Completed,2225.1,On-Time,5,5,Vendor,Vendor Delay,High
299,11401,2024-11-12,2024-11-16,Completed,5774.14,On-Time,5,5,Vendor,Vendor Delay,High
300,19339,2024-12-28,2025-01-01,Completed,4014.12,On-Time,5,5,Vendor,Vendor Delay,High
309,18681,2025-04-28,2025-05-01,Delayed,6461.04,Delayed,5,5,Vendor,Vendor Delay,High
320,4332,2025-04-30,2025-05-02,Completed,3010.87,On-Time,5,5,Vendor,Vendor Delay,High
325,6182,2024-11-05,2024-11-10,Completed,5462.61,On-Time,5,5,Vendor,Vendor Delay,High
330,2740,2025-03-17,2025-03-20,Delayed,8242.85,Delayed,5,5,Vendor,Vendor Delay,High
331,12804,2024-12-06,2024-12-07,Completed,2481.05,On-Time,5,5,Vendor,Vendor Delay,High
335,2526,2025-02-05,2025-02-08,Completed,760.55,On-Time,5,5,Vendor,Vendor Delay,High
336,5155,2025-03-12,2025-03-16,Completed,5575.8,On-Time,5,5,Vendor,Vendor Delay,High
337,85,2024-11-08,2024-11-09,Completed,4528.25,On-Time,5,5,Vendor,Vendor Delay,High
340,16901,2025-01-07,2025-01-08,Completed,402.54,On-Time,5,5,Vendor,Vendor Delay,High
353,8526,2024-12-30,2025-01-03,Completed,1516.26,On-Time,5,5,Vendor,Vendor Delay,High
370,9651,2024-09-28,2024-10-03,Completed,6592.02,On-Time,5,5,Vendor,Vendor Delay,High
379,12875,2025-01-26,2025-01-31,Delayed,3165.12,Delayed,5,5,Vendor,Vendor Delay,High
385,13718,2025-06-08,2025-06-11,Completed,10074.13,On-Time,5,5,Vendor,Vendor Delay,High
386,1138,2025-04-01,2025-04-05,Completed,6158.54,On-Time,5,5,Vendor,Vendor Delay,High
387,6316,2025-03-15,2025-03-20,Completed,6327.93,On-Time,5,5,Vendor,Vendor Delay,High
389,18090,2025-05-18,2025-05-20,Completed,6495.92,On-Time,5,5,Vendor,Vendor Delay,High
390,3688,2024-12-14,2024-12-17,Completed,9716.56,On-Time,5,5,Vendor,Vendor Delay,High
393,8801,2024-09-12,2024-09-17,Completed,7380.58,On-Time,5,5,Vendor,Vendor Delay,High
396,16607,2025-01-25,2025-01-29,Completed,5012.5,On-Time,5,5,Vendor,Vendor Delay,High
397,11809,2025-01-23,2025-01-25,Completed,4575.5,On-Time,5,5,Vendor,Vendor Delay,High
402,19935,2024-09-06,2024-09-08,Completed,2957.04,On-Time,5,5,Vendor,Vendor Delay,High
411,17362,2025-02-27,2025-03-01,Completed,3232.24,On-Time,5,5,Vendor,Vendor Delay,High
420,12295,2024-07-12,2024-07-17,Delayed,2862.78,Delayed,5,5,Vendor,Vendor Delay,High
421,12461,2025-05-24,2025-05-27,Completed,5031.88,On-Time,5,5,Vendor,Vendor Delay,High
423,3858,2024-11-16,2024-11-21,Delayed,4234.81,Delayed,5,5,Vendor,Vendor Delay,High
435,4872,2025-06-08,2025-06-11,Completed,11974.65,On-Time,5,5,Vendor,Vendor Delay,High
441,19799,2024-07-19,2024-07-24,Completed,982.19,On-Time,5,5,Vendor,Vendor Delay,High
442,10879,2025-05-13,2025-05-16,Completed,7816.49,On-Time,5,5,Vendor,Vendor Delay,High
443,72,2025-04-13,2025-04-18,Completed,5578.58,On-Time,5,5,Vendor,Vendor Delay,High
447,15825,2025-02-16,2025-02-20,Completed,13156.79,On-Time,5,5,Vendor,Vendor Delay,High
448,19679,2025-03-18,2025-03-20,Completed,1267.14,On-Time,5,5,Vendor,Vendor Delay,High
449,9640,2025-05-07,2025-05-10,Completed,7820.74,On-Time,5,5,Vendor,Vendor Delay,High
451,16512,2024-10-11,2024-10-13,Completed,3287.87,On-Time,5,5,Vendor,Vendor Delay,High
457,6655,2025-01-30,2025-02-02,Completed,930.3,On-Time,5,5,Vendor,Vendor Delay,High
463,3013,2025-03-24,2025-03-25,Completed,2118.28,On-Time,5,5,Vendor,Vendor Delay,High
466,12497,2024-11-01,2024-11-06,Completed,955.93,On-Time,5,5,Vendor,Vendor Delay,High
469,1242,2024-08-23,2024-08-25,Completed,4059.84,On-Time,5,5,Vendor,Vendor Delay,High
475,6939,2024-07-03,2024-07-08,Completed,4991.96,On-Time,5,5,Vendor,Vendor Delay,High
477,15115,2024-08-28,2024-08-30,Completed,1599.65,On-Time,5,5,Vendor,Vendor Delay,High
486,5435,2025-01-20,2025-01-23,Completed,1726.98,On-Time,5,5,Vendor,Vendor Delay,High
491,12332,2024-11-12,2024-11-17,Completed,6782.2,On-Time,5,5,Vendor,Vendor Delay,High
497,15784,2025-03-22,2025-03-26,Completed,6757.58,On-Time,5,5,Vendor,Vendor Delay,High
500,19655,2024-10-12,2024-10-17,Completed,6576.66,On-Time,5,5,Vendor,Vendor Delay,High
501,4271,2024-07-20,2024-07-25,Completed,1423.04,On-Time,5,5,Vendor,Vendor Delay,High
503,17817,2025-01-12,2025-01-15,Completed,7611.49,On-Time,5,5,Vendor,Vendor Delay,High
505,10352,2025-03-25,2025-03-26,Delayed,1759.82,Delayed,5,5,Vendor,Vendor Delay,High
510,174,2024-12-21,2024-12-26,Completed,2665.16,On-Time,5,5,Vendor,Vendor Delay,High
513,11788,2025-05-03,2025-05-08,Completed,1034.11,On-Time,5,5,Vendor,Vendor Delay,High
518,7972,2024-11-09,2024-11-14,Completed,7625.68,On-Time,5,5,Vendor,Vendor Delay,High
520,5849,2025-01-28,2025-01-31,Delayed,8432.4,Delayed,5,5,Vendor,Vendor Delay,High
524,12164,2025-05-11,2025-05-12,Completed,3923.88,On-Time,5,5,Vendor,Vendor Delay,High
528,11243,2024-12-14,2024-12-17,Completed,6723.36,On-Time,5,5,Vendor,Vendor Delay,High
530,7727,2025-04-19,2025-04-21,Completed,1242.53,On-Time,5,5,Vendor,Vendor Delay,High
535,5720,2024-09-01,2024-09-04,Completed,4965.6,On-Time,5,5,Vendor,Vendor Delay,High
538,13566,2025-06-29,2025-07-02,Completed,9170.3,On-Time,5,5,Vendor,Vendor Delay,High
544,14479,2025-02-08,2025-02-13,Delayed,3401.54,Delayed,5,5,Vendor,Vendor Delay,High
546,15633,2024-11-24,2024-11-28,Completed,1898.92,On-Time,5,5,Vendor,Vendor Delay,High
549,5978,2025-02-02,2025-02-04,Completed,4063.39,On-Time,5,5,Vendor,Vendor Delay,High
561,16382,2025-06-19,2025-06-23,Completed,2210.71,On-Time,5,5,Vendor,Vendor Delay,High
567,17661,2024-10-03,2024-10-04,Delayed,4396.06,Delayed,5,5,Vendor,Vendor Delay,High
568,3620,2025-01-15,2025-01-17,Completed,8029.6,On-Time,5,5,Vendor,Vendor Delay,High
573,2554,2025-06-28,2025-06-29,Completed,2414.23,On-Time,5,5,Vendor,Vendor Delay,High
580,7271,2025-05-02,2025-05-03,Completed,2611.95,On-Time,5,5,Vendor,Vendor Delay,High
587,18512,2024-07-28,2024-07-31,Completed,3360.65,On-Time,5,5,Vendor,Vendor Delay,High
588,14602,2024-09-15,2024-09-18,Completed,2168.54,On-Time,5,5,Vendor,Vendor Delay,High
589,9496,2025-05-01,2025-05-06,Completed,1516.48,On-Time,5,5,Vendor,Vendor Delay,High
591,12954,2024-08-13,2024-08-17,Completed,7341.36,On-Time,5,5,Vendor,Vendor Delay,High
594,5112,2024-09-25,2024-09-28,Completed,4029.14,On-Time,5,5,Vendor,Vendor Delay,High
597,12341,2024-10-13,2024-10-18,Completed,4151.92,On-Time,5,5,Vendor,Vendor Delay,High
606,18509,2025-05-31,2025-06-02,Completed,9384.52,On-Time,5,5,Vendor,Vendor Delay,High
609,11773,2025-05-07,2025-05-12,Completed,1204.86,On-Time,5,5,Vendor,Vendor Delay,High
615,14404,2024-11-03,2024-11-08,Completed,6346.43,On-Time,5,5,Vendor,Vendor Delay,High
623,19701,2025-04-05,2025-04-06,Completed,6819.95,On-Time,5,5,Vendor,Vendor Delay,High
626,10579,2025-06-10,2025-06-13,Completed,10710.19,On-Time,5,5,Vendor,Vendor Delay,High
628,3582,2025-03-27,2025-03-31,Completed,1310.92,On-Time,5,5,Vendor,Vendor Delay,High
630,16310,2025-03-27,2025-04-01,Completed,7227.43,On-Time,5,5,Vendor,Vendor Delay,High
631,3874,2025-03-10,2025-03-12,Delayed,783.11,Delayed,5,5,Vendor,Vendor Delay,High
633,8337,2024-12-18,2024-12-21,Completed,4630.17,On-Time,5,5,Vendor,Vendor Delay,High
647,1763,2025-05-10,2025-05-13,Cancelled,5852.04,Lost,5,5,Vendor,Vendor Delay,High
653,9900,2024-11-22,2024-11-25,Completed,7568.7,On-Time,5,5,Vendor,Vendor Delay,High
656,2281,2024-08-28,2024-09-02,Delayed,10020.62,Delayed,5,5,Vendor,Vendor Delay,High
657,19031,2025-05-03,2025-05-04,Completed,2264.91,On-Time,5,5,Vendor,Vendor Delay,High
662,6922,2024-10-29,2024-11-02,Completed,11349.58,On-Time,5,5,Vendor,Vendor Delay,High
667,18886,2025-05-06,2025-05-07,Completed,10271.5,On-Time,5,5,Vendor,Vendor Delay,High
669,1730,2025-03-22,2025-03-23,Completed,11283.13,On-Time,5,5,Vendor,Vendor Delay,High
672,2704,2024-07-27,2024-07-30,Delayed,3596.6,Delayed,5,5,Vendor,Vendor Delay,High
681,10266,2025-02-22,2025-02-24,Delayed,1980.95,Delayed,5,5,Vendor,Vendor Delay,High
701,19435,2024-08-31,2024-09-05,Completed,1827.27,On-Time,5,5,Vendor,Vendor Delay,High
703,1334,2024-09-25,2024-09-28,Completed,5046.54,On-Time,5,5,Vendor,Vendor Delay,High
704,2921,2024-09-07,2024-09-08,Delayed,3691.01,Delayed,5,5,Vendor,Vendor Delay,High
719,13690,2025-04-23,2025-04-25,Delayed,3883.88,Delayed,5,5,Vendor,Vendor Delay,High
724,8841,2025-06-19,2025-06-22,Completed,2968.24,On-Time,5,5,Vendor,Vendor Delay,High
725,1690,2025-06-23,2025-06-28,Completed,5824.64,On-Time,5,5,Vendor,Vendor Delay,High
729,12064,2025-02-17,2025-02-21,Completed,11084.64,On-Time,5,5,Vendor,Vendor Delay,High
752,15599,2025-03-10,2025-03-11,Cancelled,5843.11,Lost,5,5,Vendor,Vendor Delay,High
755,19621,2025-03-29,2025-03-30,Delayed,2118.81,Delayed,5,5,Vendor,Vendor Delay,High
759,15713,2025-05-11,2025-05-16,Completed,6510.54,On-Time,5,5,Vendor,Vendor Delay,High
764,8291,2025-06-03,2025-06-08,Completed,910.15,On-Time,5,5,Vendor,Vendor Delay,High
766,4770,2025-05-05,2025-05-07,Completed,1211.07,On-Time,5,5,Vendor,Vendor Delay,High
768,6277,2024-08-04,2024-08-05,Completed,797.08,On-Time,5,5,Vendor,Vendor Delay,High
769,7013,2024-11-22,2024-11-24,Completed,682.9,On-Time,5,5,Vendor,Vendor Delay,High
773,14024,2024-11-23,2024-11-27,Completed,7029.68,On-Time,5,5,Vendor,Vendor Delay,High
778,13253,2024-11-20,2024-11-25,Completed,5826.95,On-Time,5,5,Vendor,Vendor Delay,High
786,16211,2025-02-26,2025-03-02,Delayed,1181.96,Delayed,5,5,Vendor,Vendor Delay,High
787,1479,2025-04-29,2025-05-03,Completed,4190.89,On-Time,5,5,Vendor,Vendor Delay,High
790,18690,2025-02-21,2025-02-25,Completed,6980.84,On-Time,5,5,Vendor,Vendor Delay,High
791,3279,2025-01-16,2025-01-19,Completed,2389.0,On-Time,5,5,Vendor,Vendor Delay,High
793,18794,2025-03-12,2025-03-13,Completed,4230.99,On-Time,5,5,Vendor,Vendor Delay,High
794,3105,2025-01-22,2025-01-24,Completed,1767.3,On-Time,5,5,Vendor,Vendor Delay,High
797,14852,2024-12-01,2024-12-05,Delayed,6563.45,Delayed,5,5,Vendor,Vendor Delay,High
806,17212,2024-08-27,2024-09-01,Completed,3647.75,On-Time,5,5,Vendor,Vendor Delay,High
815,14530,2025-02-01,2025-02-06,Completed,1859.43,On-Time,5,5,Vendor,Vendor Delay,High
817,19433,2025-05-29,2025-05-31,Completed,7189.98,On-Time,5,5,Vendor,Vendor Delay,High
819,7495,2025-01-18,2025-01-22,Delayed,5085.8,Delayed,5,5,Vendor,Vendor Delay,High
835,17237,2024-10-01,2024-10-03,Completed,9824.46,On-Time,5,5,Vendor,Vendor Delay,High
839,14848,2025-02-18,2025-02-21,Completed,156.3,On-Time,5,5,Vendor,Vendor Delay,High
841,6824,2024-07-29,2024-07-30,Completed,3452.25,On-Time,5,5,Vendor,Vendor Delay,High
846,14332,2025-03-11,2025-03-16,Delayed,3650.84,Delayed,5,5,Vendor,Vendor Delay,High
848,1478,2025-02-04,2025-02-07,Completed,526.65,On-Time,5,5,Vendor,Vendor Delay,High
849,19188,2025-03-20,2025-03-21,Completed,4128.6,On-Time,5,5,Vendor,Vendor Delay,High
854,4428,2024-12-03,2024-12-08,Completed,7597.51,On-Time,5,5,Vendor,Vendor Delay,High
858,1669,2024-07-11,2024-07-15,Completed,5454.47,On-Time,5,5,Vendor,Vendor Delay,High
860,10350,2025-01-21,2025-01-25,Completed,11992.52,On-Time,5,5,Vendor,Vendor Delay,High
867,8449,2025-02-06,2025-02-07,Delayed,7105.62,Delayed,5,5,Vendor,Vendor Delay,High
869,6731,2024-08-26,2024-08-27,Delayed,4211.65,Delayed,5,5,Vendor,Vendor Delay,High
877,17840,2024-11-21,2024-11-26,Completed,2389.22,On-Time,5,5,Vendor,Vendor Delay,High
883,4587,2025-05-18,2025-05-23,Completed,3667.65,On-Time,5,5,Vendor,Vendor Delay,High
887,13662,2025-04-28,2025-05-03,Completed,6509.02,On-Time,5,5,Vendor,Vendor Delay,High
888,17339,2024-09-22,2024-09-24,Completed,4330.54,On-Time,5,5,Vendor,Vendor Delay,High
890,12271,2024-08-31,2024-09-03,Completed,5361.78,On-Time,5,5,Vendor,Vendor Delay,High
896,9090,2025-01-19,2025-01-22,Completed,1385.2,On-Time,5,5,Vendor,Vendor Delay,High
898,17755,2025-05-27,2025-05-28,Completed,1710.35,On-Time,5,5,Vendor,Vendor Delay,High
899,8038,2025-04-22,2025-04-23,Completed,6930.46,On-Time,5,5,Vendor,Vendor Delay,High
901,11140,2024-12-12,2024-12-16,Completed,945.24,On-Time,5,5,Vendor,Vendor Delay,High
909,4115,2024-11-15,2024-11-20,Completed,571.3,On-Time,5,5,Vendor,Vendor Delay,High
918,12140,2024-12-28,2025-01-01,Delayed,5179.0,Delayed,5,5,Vendor,Vendor Delay,High
920,1206,2024-10-07,2024-10-08,Completed,6514.73,On-Time,5,5,Vendor,Vendor Delay,High
921,3636,2024-11-21,2024-11-25,Completed,5129.4,On-Time,5,5,Vendor,Vendor Delay,High
922,2142,2024-11-20,2024-11-25,Completed,8900.48,On-Time,5,5,Vendor,Vendor Delay,High
926,1539,2025-03-11,2025-03-14,Delayed,1648.12,Delayed,5,5,Vendor,Vendor Delay,High
927,832,2024-11-20,2024-11-24,Completed,6915.3,On-Time,5,5,Vendor,Vendor Delay,High
931,1093,2024-08-18,2024-08-22,Completed,779.73,On-Time,5,5,Vendor,Vendor Delay,High
936,13796,2025-04-30,2025-05-02,Completed,4346.51,On-Time,5,5,Vendor,Vendor Delay,High
938,4831,2024-09-04,2024-09-07,Completed,8292.06,On-Time,5,5,Vendor,Vendor Delay,High
939,4739,2025-02-26,2025-03-01,Completed,5559.27,On-Time,5,5,Vendor,Vendor Delay,High
940,11192,2024-07-30,2024-08-01,Delayed,6355.98,Delayed,5,5,Vendor,Vendor Delay,High
954,14814,2025-02-28,2025-03-03,Completed,4237.37,On-Time,5,5,Vendor,Vendor Delay,High
957,11023,2024-12-28,2024-12-30,Completed,4998.9,On-Time,5,5,Vendor,Vendor Delay,High
960,7463,2025-03-14,2025-03-19,Completed,2278.35,On-Time,5,5,Vendor,Vendor Delay,High
967,4560,2024-12-01,2024-12-04,Completed,250.06,On-Time,5,5,Vendor,Vendor Delay,High
968,12663,2024-09-17,2024-09-20,Completed,11545.12,On-Time,5,5,Vendor,Vendor Delay,High
974,244,2024-09-20,2024-09-25,Completed,5821.34,On-Time,5,5,Vendor,Vendor Delay,High
979,3448,2025-03-10,2025-03-14,Delayed,972.74,Delayed,5,5,Vendor,Vendor Delay,High
984,11734,2024-11-28,2024-11-29,Completed,5240.13,On-Time,5,5,Vendor,Vendor Delay,High
989,10574,2024-07-23,2024-07-27,Completed,2114.82,On-Time,5,5,Vendor,Vendor Delay,High
990,3959,2025-04-14,2025-04-16,Completed,6596.08,On-Time,5,5,Vendor,Vendor Delay,High
994,10420,2024-11-06,2024-11-07,Completed,4038.54,On-Time,5,5,Vendor,Vendor Delay,High
996,7981,2025-05-24,2025-05-26,Completed,6501.01,On-Time,5,5,Vendor,Vendor Delay,High
1001,2294,2025-05-08,2025-05-12,Completed,4881.88,On-Time,5,5,Vendor,Vendor Delay,High
1003,10207,2024-10-13,2024-10-15,Delayed,2106.76,Delayed,5,5,Vendor,Vendor Delay,High
1015,11286,2025-03-30,2025-04-03,Completed,7969.07,On-Time,5,5,Vendor,Vendor Delay,High
1017,4402,2025-06-22,2025-06-26,Completed,7939.69,On-Time,5,5,Vendor,Vendor Delay,High
1021,17042,2024-08-19,2024-08-21,Completed,4399.55,On-Time,5,5,Vendor,Vendor Delay,High
1036,15094,2025-06-05,2025-06-10,Delayed,3101.29,Delayed,5,5,Vendor,Vendor Delay,High
1038,15673,2024-09-13,2024-09-14,Cancelled,6029.87,Lost,5,5,Vendor,Vendor Delay,High
1045,8029,2024-07-27,2024-07-28,Completed,4149.48,On-Time,5,5,Vendor,Vendor Delay,High
1048,9777,2024-07-12,2024-07-17,Completed,9683.68,On-Time,5,5,Vendor,Vendor Delay,High
1050,3845,2025-04-11,2025-04-16,Completed,7501.42,On-Time,5,5,Vendor,Vendor Delay,High
1054,16732,2025-03-23,2025-03-26,Completed,6128.14,On-Time,5,5,Vendor,Vendor Delay,High
1056,13829,2024-09-07,2024-09-12,Delayed,2715.34,Delayed,5,5,Vendor,Vendor Delay,High
1058,12195,2025-06-21,2025-06-23,Delayed,3276.94,Delayed,5,5,Vendor,Vendor Delay,High
1059,12418,2025-04-15,2025-04-20,Completed,4879.3,On-Time,5,5,Vendor,Vendor Delay,High
1064,5596,2025-03-28,2025-03-31,Delayed,2617.96,Delayed,5,5,Vendor,Vendor Delay,High
1072,14702,2024-07-04,2024-07-08,Completed,10625.0,On-Time,5,5,Vendor,Vendor Delay,High
1079,227,2024-08-13,2024-08-18,Completed,3353.11,On-Time,5,5,Vendor,Vendor Delay,High
1084,3535,2025-02-01,2025-02-05,Completed,4212.4,On-Time,5,5,Vendor,Vendor Delay,High
1094,19298,2025-06-08,2025-06-09,Completed,2622.81,On-Time,5,5,Vendor,Vendor Delay,High
1100,16689,2025-06-16,2025-06-21,Cancelled,2812.4,Lost,5,5,Vendor,Vendor Delay,High
1102,18093,2025-06-22,2025-06-23,Completed,10164.73,On-Time,5,5,Vendor,Vendor Delay,High
1131,5184,2024-07-28,2024-07-29,Completed,2018.4,On-Time,5,5,Vendor,Vendor Delay,High
1135,14887,2025-05-06,2025-05-08,Delayed,4942.92,Delayed,5,5,Vendor,Vendor Delay,High
1136,6943,2025-04-10,2025-04-13,Delayed,7530.73,Delayed,5,5,Vendor,Vendor Delay,High
1141,278,2024-11-15,2024-11-16,Delayed,5896.54,Delayed,5,5,Vendor,Vendor Delay,High
1154,6537,2025-02-24,2025-02-28,Cancelled,6497.87,Lost,5,5,Vendor,Vendor Delay,High
1170,18075,2024-08-21,2024-08-25,Delayed,9014.31,Delayed,5,5,Vendor,Vendor Delay,High
1180,19527,2025-05-18,2025-05-19,Completed,3440.92,On-Time,5,5,Vendor,Vendor Delay,High
1184,11364,2024-09-30,2024-10-05,Delayed,2314.2,Delayed,5,5,Vendor,Vendor Delay,High
1185,755,2025-03-05,2025-03-10,Completed,8844.06,On-Time,5,5,Vendor,Vendor Delay,High
1191,14068,2025-02-14,2025-02-18,Completed,3182.12,On-Time,5,5,Vendor,Vendor Delay,High
1198,16340,2025-06-09,2025-06-10,Completed,5566.95,On-Time,5,5,Vendor,Vendor Delay,High
1200,9319,2025-05-04,2025-05-07,Completed,12986.73,On-Time,5,5,Vendor,Vendor Delay,High
1213,9105,2025-02-17,2025-02-22,Completed,4771.82,On-Time,5,5,Vendor,Vendor Delay,High
1226,15486,2025-06-13,2025-06-14,Completed,2547.43,On-Time,5,5,Vendor,Vendor Delay,High
1233,9451,2024-10-06,2024-10-07,Completed,13296.45,On-Time,5,5,Vendor,Vendor Delay,High
1237,9530,2024-12-27,2024-12-30,Delayed,7549.56,Delayed,5,5,Vendor,Vendor Delay,High
1241,10265,2024-08-13,2024-08-16,Completed,6624.44,On-Time,5,5,Vendor,Vendor Delay,High
1251,710,2025-05-10,2025-05-14,Completed,1827.28,On-Time,5,5,Vendor,Vendor Delay,High
1270,983,2024-11-01,2024-11-06,Completed,5013.8,On-Time,5,5,Vendor,Vendor Delay,High
1275,4104,2024-10-09,2024-10-14,Completed,7225.81,On-Time,5,5,Vendor,Vendor Delay,High
1276,12050,2025-02-06,2025-02-10,Completed,4655.24,On-Time,5,5,Vendor,Vendor Delay,High
1282,4494,2024-11-14,2024-11-17,Completed,7010.25,On-Time,5,5,Vendor,Vendor Delay,High
1286,1026,2025-06-03,2025-06-07,Completed,2402.61,On-Time,5,5,Vendor,Vendor Delay,High
1291,18627,2025-06-03,2025-06-06,Delayed,2750.94,Delayed,5,5,Vendor,Vendor Delay,High
1297,529,2024-12-10,2024-12-11,Completed,1764.33,On-Time,5,5,Vendor,Vendor Delay,High
