order_id,customer_id,order_date,due_date,order_status,order_total,delivery_status,delay_reason_id
455,12744,2025-04-04,2025-04-05,Delayed,9651.2,Delayed,3
458,9640,2025-05-14,2025-05-18,Delayed,7825.97,Delayed,2
473,17481,2025-02-10,2025-02-14,Cancelled,596.24,Lost,4
487,4791,2025-03-21,2025-03-23,Cancelled,3471.55,Lost,4
495,736,2025-03-04,2025-03-08,Cancelled,4085.28,Lost,4
496,5900,2024-11-02,2024-11-03,Cancelled,12592.58,Lost,2
505,10352,2025-03-25,2025-03-26,Delayed,1759.82,Delayed,5
506,17568,2025-01-26,2025-01-29,Delayed,5054.27,Delayed,1
514,11572,2024-10-31,2024-11-01,Delayed,2792.52,Delayed,2
520,5849,2025-01-28,2025-01-31,Delayed,8432.4,Delayed,5
521,6232,2025-03-01,2025-03-04,Delayed,3922.42,Delayed,3
523,16144,2024-11-05,2024-11-10,Delayed,1367.54,Delayed,3
532,3244,2025-02-01,2025-02-05,Cancelled,13917.22,Lost,2
533,14741,2025-06-19,2025-06-21,Delayed,3040.72,Delayed,1
541,10138,2025-04-07,2025-04-08,Cancelled,4313.49,Lost,1
543,18481,2024-12-14,2024-12-18,Delayed,15468.51,Delayed,4
544,14479,2025-02-08,2025-02-13,Delayed,3401.54,Delayed,5
552,16174,2025-02-10,2025-02-11,Delayed,137.24,Delayed,2
557,17070,2025-01-16,2025-01-19,Delayed,2973.81,Delayed,3
558,3701,2024-09-01,2024-09-04,Delayed,2428.54,Delayed,4
567,17661,2024-10-03,2024-10-04,Delayed,4396.06,Delayed,5
569,5854,2024-08-19,2024-08-24,Delayed,1442.9,Delayed,1
586,12534,2025-02-08,2025-02-12,Cancelled,2250.8,Lost,1
590,8604,2025-01-18,2025-01-20,Cancelled,3812.59,Lost,2
593,9989,2024-08-27,2024-08-31,Delayed,5129.33,Delayed,4
595,9427,2024-08-13,2024-08-14,Delayed,3731.66,Delayed,1
602,9040,2025-01-18,2025-01-20,Delayed,5673.29,Delayed,1
605,6776,2024-11-01,2024-11-06,Cancelled,5764.76,Lost,2
619,16767,2024-08-28,2024-09-01,Cancelled,2416.64,Lost,3
620,5862,2025-05-10,2025-05-12,Delayed,4959.5,Delayed,4
621,6648,2025-06-30,2025-07-01,Cancelled,4193.44,Lost,4
624,11437,2025-05-04,2025-05-05,Delayed,11477.99,Delayed,2
631,3874,2025-03-10,2025-03-12,Delayed,783.11,Delayed,5
634,955,2024-08-04,2024-08-07,Delayed,10236.55,Delayed,3
640,1226,2025-03-12,2025-03-14,Cancelled,9287.64,Lost,3
646,10204,2025-03-21,2025-03-22,Delayed,9242.98,Delayed,2
647,1763,2025-05-10,2025-05-13,Cancelled,5852.04,Lost,5
656,2281,2024-08-28,2024-09-02,Delayed,10020.62,Delayed,5
658,18938,2025-05-22,2025-05-23,Delayed,6180.15,Delayed,2
663,13672,2025-06-05,2025-06-07,Cancelled,5808.0,Lost,4
672,2704,2024-07-27,2024-07-30,Delayed,3596.6,Delayed,5
673,466,2024-09-03,2024-09-08,Cancelled,5374.27,Lost,1
681,10266,2025-02-22,2025-02-24,Delayed,1980.95,Delayed,5
687,6576,2025-01-15,2025-01-18,Delayed,6428.98,Delayed,1
691,17699,2024-11-14,2024-11-16,Delayed,6809.04,Delayed,3
695,7815,2024-08-13,2024-08-17,Delayed,5650.73,Delayed,2
697,15020,2024-12-20,2024-12-21,Delayed,2713.6,Delayed,4
704,2921,2024-09-07,2024-09-08,Delayed,3691.01,Delayed,5
705,17141,2025-06-27,2025-07-02,Delayed,8619.47,Delayed,3
706,16381,2025-02-16,2025-02-20,Delayed,1178.95,Delayed,2
707,17374,2025-05-10,2025-05-11,Delayed,3209.54,Delayed,3
710,17609,2024-10-16,2024-10-20,Delayed,3118.74,Delayed,3
714,6363,2024-10-19,2024-10-24,Cancelled,2896.17,Lost,4
719,13690,2025-04-23,2025-04-25,Delayed,3883.88,Delayed,5
720,18301,2024-07-23,2024-07-24,Delayed,6479.81,Delayed,4
732,7613,2025-01-30,2025-02-04,Delayed,4248.04,Delayed,2
735,17542,2024-11-25,2024-11-26,Delayed,2802.84,Delayed,2
736,10376,2024-11-24,2024-11-26,Delayed,1369.24,Delayed,2
752,15599,2025-03-10,2025-03-11,Cancelled,5843.11,Lost,5
753,4440,2025-06-21,2025-06-22,Delayed,12453.96,Delayed,3
754,9558,2024-12-30,2025-01-01,Delayed,2589.14,Delayed,1
755,19621,2025-03-29,2025-03-30,Delayed,2118.81,Delayed,5
756,19007,2024-09-24,2024-09-29,Delayed,5022.49,Delayed,3
760,17142,2024-12-26,2024-12-29,Delayed,2978.64,Delayed,3
763,1075,2024-07-10,2024-07-14,Delayed,351.66,Delayed,4
772,12609,2024-09-08,2024-09-12,Delayed,1302.17,Delayed,3
780,2236,2025-03-08,2025-03-12,Delayed,1547.44,Delayed,2
784,16105,2025-02-16,2025-02-19,Delayed,3542.95,Delayed,4
786,16211,2025-02-26,2025-03-02,Delayed,1181.96,Delayed,5
797,14852,2024-12-01,2024-12-05,Delayed,6563.45,Delayed,5
802,15210,2025-01-24,2025-01-26,Cancelled,3879.58,Lost,1
805,7735,2024-07-29,2024-07-30,Delayed,5075.95,Delayed,3
807,10791,2024-11-06,2024-11-10,Cancelled,2437.68,Lost,1
812,14381,2024-07-05,2024-07-09,Delayed,1960.36,Delayed,3
814,11530,2025-02-27,2025-03-03,Delayed,2419.75,Delayed,3
819,7495,2025-01-18,2025-01-22,Delayed,5085.8,Delayed,5
826,1926,2025-06-20,2025-06-24,Delayed,5868.88,Delayed,2
836,3091,2025-04-19,2025-04-21,Delayed,457.04,Delayed,4
843,16044,2025-06-16,2025-06-21,Cancelled,2935.7,Lost,2
846,14332,2025-03-11,2025-03-16,Delayed,3650.84,Delayed,5
851,10288,2024-10-02,2024-10-06,Delayed,2307.06,Delayed,1
852,14215,2025-04-27,2025-05-01,Delayed,8854.96,Delayed,4
855,879,2024-07-08,2024-07-10,Delayed,479.04,Delayed,1
861,682,2025-04-10,2025-04-11,Cancelled,6310.78,Lost,3
867,8449,2025-02-06,2025-02-07,Delayed,7105.62,Delayed,5
869,6731,2024-08-26,2024-08-27,Delayed,4211.65,Delayed,5
882,18534,2024-09-02,2024-09-03,Delayed,6781.76,Delayed,1
916,5687,2024-12-22,2024-12-24,Delayed,4510.68,Delayed,4
918,12140,2024-12-28,2025-01-01,Delayed,5179.0,Delayed,5
926,1539,2025-03-11,2025-03-14,Delayed,1648.12,Delayed,5
929,15519,2025-05-17,2025-05-18,Delayed,6321.66,Delayed,1
930,14370,2024-10-31,2024-11-03,Delayed,3455.45,Delayed,1
932,14151,2025-01-10,2025-01-13,Delayed,3469.57,Delayed,1
934,10755,2025-02-18,2025-02-22,Delayed,6753.7,Delayed,4
940,11192,2024-07-30,2024-08-01,Delayed,6355.98,Delayed,5
942,6985,2024-08-23,2024-08-27,Delayed,7692.98,Delayed,1
948,14213,2025-02-19,2025-02-21,Delayed,7619.84,Delayed,3
949,6282,2025-06-30,2025-07-01,Delayed,1575.0,Delayed,1
959,9651,2025-02-12,2025-02-14,Delayed,383.84,Delayed,3
961,8193,2024-08-20,2024-08-21,Delayed,4756.21,Delayed,1
965,16378,2025-04-12,2025-04-13,Cancelled,1820.38,Lost,3
976,11364,2025-02-22,2025-02-27,Delayed,2955.76,Delayed,1
978,7120,2025-06-23,2025-06-28,Delayed,4236.62,Delayed,1
979,3448,2025-03-10,2025-03-14,Delayed,972.74,Delayed,5
982,4596,2025-06-29,2025-07-01,Cancelled,4388.63,Lost,3
986,6611,2024-07-27,2024-08-01,Delayed,1325.0,Delayed,1
1002,17985,2024-10-07,2024-10-08,Cancelled,2102.97,Lost,2
1003,10207,2024-10-13,2024-10-15,Delayed,2106.76,Delayed,5
1006,5758,2025-03-04,2025-03-05,Delayed,8009.78,Delayed,4
1027,9630,2024-12-26,2024-12-30,Delayed,3425.84,Delayed,4
1036,15094,2025-06-05,2025-06-10,Delayed,3101.29,Delayed,5
1038,15673,2024-09-13,2024-09-14,Cancelled,6029.87,Lost,5
1041,12904,2025-06-13,2025-06-17,Delayed,2624.63,Delayed,3
1056,13829,2024-09-07,2024-09-12,Delayed,2715.34,Delayed,5
1058,12195,2025-06-21,2025-06-23,Delayed,3276.94,Delayed,5
1060,17416,2024-07-14,2024-07-19,Delayed,492.19,Delayed,2
1062,7282,2024-12-18,2024-12-21,Delayed,1796.28,Delayed,2
1064,5596,2025-03-28,2025-03-31,Delayed,2617.96,Delayed,5
1080,3562,2024-09-18,2024-09-21,Delayed,5555.75,Delayed,2
1091,1559,2024-08-26,2024-08-29,Delayed,3916.08,Delayed,3
1099,16222,2025-05-03,2025-05-06,Cancelled,8628.81,Lost,2
1100,16689,2025-06-16,2025-06-21,Cancelled,2812.4,Lost,5
1101,19403,2025-01-13,2025-01-18,Delayed,3886.76,Delayed,4
1107,7230,2025-04-02,2025-04-07,Cancelled,10577.18,Lost,1
1120,5835,2024-08-30,2024-09-02,Delayed,490.58,Delayed,1
1124,16195,2024-09-13,2024-09-14,Delayed,2863.08,Delayed,3
1125,16142,2025-02-03,2025-02-07,Delayed,7030.48,Delayed,4
1134,1053,2025-02-13,2025-02-14,Delayed,882.71,Delayed,3
1135,14887,2025-05-06,2025-05-08,Delayed,4942.92,Delayed,5
1136,6943,2025-04-10,2025-04-13,Delayed,7530.73,Delayed,5
1141,278,2024-11-15,2024-11-16,Delayed,5896.54,Delayed,5
1149,11911,2024-11-10,2024-11-14,Cancelled,5832.72,Lost,3
1150,13540,2024-11-24,2024-11-28,Delayed,10160.74,Delayed,4
1154,6537,2025-02-24,2025-02-28,Cancelled,6497.87,Lost,5
1156,2045,2024-11-20,2024-11-24,Cancelled,11415.1,Lost,1
1158,8976,2024-11-16,2024-11-19,Delayed,365.82,Delayed,2
1159,3030,2025-01-24,2025-01-25,Delayed,6292.75,Delayed,3
1160,15782,2025-02-05,2025-02-08,Delayed,1740.4,Delayed,3
1161,18956,2025-03-01,2025-03-06,Delayed,9513.89,Delayed,2
1165,471,2025-01-10,2025-01-12,Delayed,4442.96,Delayed,3
1170,18075,2024-08-21,2024-08-25,Delayed,9014.31,Delayed,5
1174,14061,2025-04-19,2025-04-23,Delayed,13190.83,Delayed,2
1176,3057,2024-08-30,2024-09-04,Cancelled,5144.63,Lost,4
1184,11364,2024-09-30,2024-10-05,Delayed,2314.2,Delayed,5
1193,5896,2024-11-07,2024-11-12,Cancelled,7485.66,Lost,4
1204,10580,2024-07-15,2024-07-17,Delayed,671.3,Delayed,1
1211,17290,2024-10-17,2024-10-18,Cancelled,10919.09,Lost,2
1219,3640,2025-03-23,2025-03-27,Delayed,1371.48,Delayed,1
1222,19540,2024-10-21,2024-10-24,Cancelled,1651.54,Lost,4
1223,7820,2024-11-25,2024-11-26,Delayed,5720.84,Delayed,1
1227,3277,2024-08-26,2024-08-27,Delayed,6580.01,Delayed,1
1229,8846,2024-07-07,2024-07-10,Delayed,4974.46,Delayed,3
1231,8976,2025-03-12,2025-03-13,Delayed,7766.44,Delayed,2
1235,9274,2025-06-06,2025-06-08,Cancelled,6248.39,Lost,3
1236,4513,2025-04-30,2025-05-01,Delayed,6691.65,Delayed,1
1237,9530,2024-12-27,2024-12-30,Delayed,7549.56,Delayed,5
1240,9995,2024-09-10,2024-09-12,Delayed,5357.58,Delayed,3
1247,4470,2025-04-26,2025-05-01,Delayed,3838.54,Delayed,1
1248,3759,2024-10-23,2024-10-25,Delayed,1541.92,Delayed,3
1253,13921,2024-11-26,2024-11-29,Delayed,6168.02,Delayed,1
1260,12586,2024-10-27,2024-10-28,Delayed,6772.54,Delayed,1
1265,18690,2024-07-03,2024-07-06,Delayed,5156.07,Delayed,4
1283,3744,2025-03-24,2025-03-26,Delayed,7303.76,Delayed,3
1285,6044,2024-11-20,2024-11-25,Delayed,6693.08,Delayed,4
1289,2803,2024-09-22,2024-09-26,Delayed,3010.24,Delayed,4
1291,18627,2025-06-03,2025-06-06,Delayed,2750.94,Delayed,5
1293,9059,2025-02-24,2025-02-25,Delayed,2298.18,Delayed,3
1298,11460,2025-06-13,2025-06-16,Delayed,750.18,Delayed,5
1299,13631,2024-08-25,2024-08-26,Cancelled,7387.63,Lost,5
1305,10771,2025-02-11,2025-02-14,Delayed,4974.93,Delayed,3
1310,3959,2025-04-21,2025-04-25,Cancelled,5489.58,Lost,2
1311,2393,2025-01-31,2025-02-03,Delayed,6190.41,Delayed,5
1313,14738,2024-12-20,2024-12-23,Delayed,5543.66,Delayed,5
1316,13982,2024-08-19,2024-08-21,Delayed,11853.3,Delayed,3
1319,16670,2024-09-25,2024-09-28,Delayed,7063.57,Delayed,3
1323,10719,2024-09-09,2024-09-12,Cancelled,2108.57,Lost,1
1324,1257,2024-09-19,2024-09-24,Cancelled,2602.72,Lost,3
1326,4963,2024-09-09,2024-09-14,Delayed,2515.9,Delayed,4
1334,7175,2025-02-03,2025-02-07,Cancelled,3732.52,Lost,3
1339,15890,2024-07-19,2024-07-20,Delayed,1681.92,Delayed,5
1341,661,2025-01-10,2025-01-14,Delayed,1634.8,Delayed,2
1342,6367,2024-07-08,2024-07-13,Delayed,4892.34,Delayed,5
1343,18881,2025-05-07,2025-05-10,Delayed,4628.66,Delayed,3
1345,12214,2025-03-17,2025-03-19,Cancelled,3033.44,Lost,4
1347,10894,2025-01-06,2025-01-10,Delayed,1982.16,Delayed,5
1363,17116,2024-08-22,2024-08-24,Delayed,1077.39,Delayed,3
1364,88,2025-04-27,2025-05-01,Delayed,5040.39,Delayed,3
1365,4489,2024-10-27,2024-10-29,Cancelled,5857.73,Lost,1
1369,12533,2024-09-30,2024-10-01,Delayed,7977.89,Delayed,3
1382,4602,2024-12-05,2024-12-07,Delayed,3883.73,Delayed,2
1384,17140,2024-11-29,2024-12-02,Delayed,8245.66,Delayed,4
1386,15572,2025-04-09,2025-04-12,Delayed,4835.89,Delayed,1
1396,11296,2024-09-17,2024-09-22,Delayed,807.36,Delayed,3
1397,7955,2024-08-21,2024-08-25,Delayed,4183.7,Delayed,5
1403,3488,2025-06-11,2025-06-15,Cancelled,3185.04,Lost,1
1404,401,2025-02-24,2025-02-25,Cancelled,1652.64,Lost,3
1406,11956,2025-02-03,2025-02-06,Delayed,11404.87,Delayed,1
1411,16170,2024-08-27,2024-08-30,Delayed,8263.34,Delayed,1
1412,10702,2025-02-06,2025-02-09,Cancelled,8384.42,Lost,3
1414,16845,2024-10-03,2024-10-06,Delayed,6989.33,Delayed,1
1418,19967,2024-07-10,2024-07-13,Delayed,2495.64,Delayed,2
1420,1058,2025-02-13,2025-02-15,Delayed,5184.44,Delayed,4
1432,15112,2024-09-28,2024-10-02,Delayed,4439.45,Delayed,2
1434,13316,2024-09-20,2024-09-22,Delayed,709.1,Delayed,4
1440,9452,2025-02-16,2025-02-19,Delayed,3160.28,Delayed,5
1446,7484,2025-05-08,2025-05-09,Delayed,6377.14,Delayed,2
1448,7483,2025-04-02,2025-04-03,Delayed,7414.52,Delayed,1
1452,6437,2025-02-23,2025-02-24,Cancelled,672.13,Lost,5
1453,3273,2025-03-02,2025-03-03,Cancelled,1685.0,Lost,4
1459,6987,2025-02-07,2025-02-10,Delayed,6548.94,Delayed,1
1461,5176,2024-10-16,2024-10-21,Delayed,6045.66,Delayed,2
1462,12151,2025-05-09,2025-05-11,Delayed,10092.82,Delayed,3
1476,18524,2024-11-22,2024-11-27,Delayed,396.37,Delayed,3
1488,10158,2025-01-01,2025-01-05,Cancelled,5979.78,Lost,3
1492,4961,2025-01-07,2025-01-12,Delayed,5770.18,Delayed,4
1499,4673,2025-03-02,2025-03-06,Delayed,1783.14,Delayed,5
1502,7794,2024-07-18,2024-07-22,Delayed,1218.05,Delayed,1
1503,15855,2024-09-21,2024-09-25,Cancelled,2627.48,Lost,3
1518,8917,2025-05-09,2025-05-13,Delayed,2564.07,Delayed,2
1529,10373,2025-01-22,2025-01-25,Delayed,5854.5,Delayed,2
1531,3653,2024-12-27,2024-12-30,Delayed,2224.77,Delayed,4
1532,6509,2024-10-06,2024-10-11,Delayed,7511.52,Delayed,3
1536,15836,2024-07-07,2024-07-10,Delayed,2391.7,Delayed,2
1544,4727,2025-04-02,2025-04-05,Delayed,7256.62,Delayed,3
1545,1736,2025-04-03,2025-04-08,Cancelled,2815.8,Lost,3
1547,5939,2025-03-29,2025-04-02,Delayed,3749.35,Delayed,2
1548,13356,2024-07-16,2024-07-20,Cancelled,8369.11,Lost,1
1553,11314,2024-12-04,2024-12-05,Delayed,5248.83,Delayed,5
1554,16625,2024-08-19,2024-08-21,Cancelled,4271.14,Lost,5
1555,5912,2024-09-15,2024-09-19,Delayed,7403.81,Delayed,1
1557,18169,2024-09-18,2024-09-23,Delayed,4920.8,Delayed,3
1558,1363,2024-08-03,2024-08-06,Delayed,6522.74,Delayed,2
1561,10024,2025-02-08,2025-02-12,Delayed,7693.55,Delayed,1
1562,10278,2025-03-12,2025-03-15,Cancelled,8213.0,Lost,1
1565,6086,2025-03-26,2025-03-28,Delayed,4881.54,Delayed,5
1574,7493,2024-10-12,2024-10-13,Cancelled,5818.83,Lost,5
1575,7922,2024-07-20,2024-07-24,Delayed,739.2,Delayed,2
1576,6193,2025-02-09,2025-02-14,Delayed,9867.26,Delayed,3
1581,2423,2024-07-04,2024-07-08,Delayed,11021.18,Delayed,1
1584,15072,2024-09-12,2024-09-15,Delayed,5623.63,Delayed,2
1594,9495,2024-08-03,2024-08-06,Delayed,6147.39,Delayed,5
1599,4899,2025-02-15,2025-02-16,Delayed,11842.74,Delayed,4
1609,2307,2025-01-08,2025-01-09,Delayed,4103.98,Delayed,2
1616,17386,2025-01-19,2025-01-24,Delayed,6055.5,Delayed,3
1617,11280,2024-07-04,2024-07-07,Delayed,3300.85,Delayed,3
1624,9946,2024-08-18,2024-08-19,Delayed,5966.9,Delayed,4
1628,14058,2025-03-09,2025-03-10,Delayed,6117.65,Delayed,3
1632,18753,2025-04-11,2025-04-14,Cancelled,2011.12,Lost,5
1633,15393,2024-10-26,2024-10-31,Delayed,1208.72,Delayed,5
1637,19582,2025-04-14,2025-04-16,Delayed,3658.9,Delayed,3
1641,5338,2025-02-13,2025-02-16,Cancelled,3769.5,Lost,1
1650,15686,2025-05-27,2025-06-01,Delayed,1321.44,Delayed,1
1652,18024,2024-12-11,2024-12-14,Cancelled,7806.74,Lost,4
1653,16684,2024-08-04,2024-08-05,Cancelled,8343.04,Lost,2
1672,11385,2025-05-24,2025-05-27,Delayed,7050.24,Delayed,4
1679,3533,2024-10-24,2024-10-28,Delayed,1483.94,Delayed,2
1691,7322,2025-01-15,2025-01-17,Cancelled,1744.68,Lost,4
1694,18262,2024-08-24,2024-08-28,Delayed,2781.16,Delayed,4
1695,11720,2025-06-25,2025-06-29,Delayed,2407.62,Delayed,1
1709,2063,2025-06-15,2025-06-20,Cancelled,10456.14,Lost,5
1710,7846,2024-11-06,2024-11-09,Delayed,7352.22,Delayed,3
1714,15044,2025-05-03,2025-05-06,Delayed,7351.11,Delayed,2
1715,18045,2025-04-02,2025-04-05,Delayed,1101.32,Delayed,2
1721,9083,2024-07-21,2024-07-26,Cancelled,899.55,Lost,1
1723,7205,2025-04-09,2025-04-12,Delayed,4362.43,Delayed,2
1728,11217,2024-09-15,2024-09-19,Delayed,8793.94,Delayed,5
1732,11311,2025-05-27,2025-05-28,Delayed,1708.85,Delayed,4
1735,2949,2024-07-19,2024-07-23,Delayed,1003.3,Delayed,3
1736,9607,2025-06-28,2025-06-30,Delayed,8103.07,Delayed,1
1738,7742,2024-08-04,2024-08-06,Cancelled,6914.62,Lost,1
1740,8050,2024-09-30,2024-10-05,Delayed,8075.43,Delayed,1
1744,19,2025-05-24,2025-05-29,Delayed,526.8,Delayed,1
1747,783,2024-07-19,2024-07-21,Delayed,9611.86,Delayed,1
1752,5438,2025-05-03,2025-05-06,Delayed,7706.24,Delayed,3
1758,18619,2024-10-08,2024-10-12,Delayed,4754.81,Delayed,5
1761,17260,2025-05-12,2025-05-15,Cancelled,4137.64,Lost,4
1763,18187,2025-03-05,2025-03-08,Delayed,9911.85,Delayed,3
1769,4978,2024-08-12,2024-08-13,Cancelled,3348.24,Lost,1
1770,11707,2024-07-27,2024-07-28,Delayed,3385.01,Delayed,4
1771,10819,2025-06-07,2025-06-12,Cancelled,2109.3,Lost,1
1777,14711,2024-08-10,2024-08-11,Delayed,409.95,Delayed,5
1782,15955,2025-04-17,2025-04-19,Cancelled,607.5,Lost,1
1783,9105,2024-12-19,2024-12-21,Delayed,3308.9,Delayed,1
1785,6610,2025-06-30,2025-07-03,Delayed,4437.64,Delayed,5
1787,13348,2025-02-18,2025-02-23,Delayed,2914.21,Delayed,5
1789,8328,2024-10-23,2024-10-27,Delayed,3344.38,Delayed,3
1797,16400,2024-07-02,2024-07-04,Delayed,3153.35,Delayed,1
1800,17525,2025-05-14,2025-05-15,Delayed,5035.84,Delayed,1
1809,5985,2024-09-09,2024-09-14,Delayed,6023.44,Delayed,5
1812,8817,2025-06-19,2025-06-24,Delayed,6475.4,Delayed,3
1813,132,2024-07-27,2024-07-29,Delayed,2465.2,Delayed,1
1828,4611,2024-11-26,2024-11-28,Cancelled,1087.11,Lost,4
1832,8907,2025-01-13,2025-01-15,Delayed,7417.91,Delayed,5
1847,7394,2024-10-09,2024-10-11,Delayed,2241.2,Delayed,2
1852,14585,2025-04-29,2025-05-04,Delayed,9978.33,Delayed,3
1857,16073,2024-08-17,2024-08-20,Delayed,2897.8,Delayed,3
1859,15103,2024-08-06,2024-08-10,Cancelled,2782.29,Lost,5
1861,19197,2025-06-06,2025-06-07,Cancelled,313.94,Lost,1
1863,8547,2024-09-15,2024-09-18,Delayed,4078.39,Delayed,3
1868,9014,2025-01-10,2025-01-13,Cancelled,2431.15,Lost,3
1879,6127,2024-07-22,2024-07-24,Delayed,3604.74,Delayed,4
1885,19657,2025-04-27,2025-04-30,Delayed,2484.36,Delayed,1
1889,18106,2024-08-12,2024-08-17,Delayed,6759.67,Delayed,5
1895,5167,2024-10-27,2024-10-31,Delayed,3452.14,Delayed,5
1899,2897,2024-10-07,2024-10-08,Delayed,1867.06,Delayed,5
1905,1750,2025-01-25,2025-01-26,Delayed,1580.06,Delayed,2
1907,9364,2025-01-05,2025-01-10,Delayed,1382.31,Delayed,5
