order_id,customer_id,order_date,due_date,order_status,order_total,delivery_status,delay_reason_id,root_cause_id,category,description,severity_level,revenue_loss
127,1985,2024-07-17,2024-07-20,Completed,6346.0,On-Time,2,2,Inventory,Stockout,High,6346.0
128,3004,2025-01-20,2025-01-23,Completed,1972.16,On-Time,2,2,Inventory,Stockout,High,1972.16
130,6789,2024-09-03,2024-09-08,Completed,3696.35,On-Time,2,2,Inventory,Stockout,High,3696.35
131,4742,2025-04-27,2025-04-29,Completed,5715.94,On-Time,2,2,Inventory,Stockout,High,5715.94
155,10591,2024-09-17,2024-09-18,Completed,7365.0,On-Time,2,2,Inventory,Stockout,High,7365.0
156,11533,2025-05-18,2025-05-21,Completed,6719.3,On-Time,2,2,Inventory,Stockout,High,6719.3
167,14711,2025-06-20,2025-06-25,Delayed,5852.93,Delayed,2,2,Inventory,Stockout,High,5852.93
168,14438,2024-10-28,2024-11-02,Delayed,5118.83,Delayed,2,2,Inventory,Stockout,High,5118.83
171,13596,2025-02-16,2025-02-21,Delayed,5634.05,Delayed,2,2,Inventory,Stockout,High,5634.05
173,4548,2024-08-20,2024-08-23,Completed,5016.61,On-Time,2,2,Inventory,Stockout,High,5016.61
181,11094,2025-04-24,2025-04-27,Completed,4819.25,On-Time,2,2,Inventory,Stockout,High,4819.25
184,12060,2024-11-07,2024-11-08,Completed,1390.64,On-Time,2,2,Inventory,Stockout,High,1390.64
190,17350,2024-07-17,2024-07-22,Completed,8228.35,On-Time,2,2,Inventory,Stockout,High,8228.35
195,18155,2024-10-23,2024-10-24,Completed,3511.73,On-Time,2,2,Inventory,Stockout,High,3511.73
197,11290,2025-04-21,2025-04-22,Completed,4952.02,On-Time,2,2,Inventory,Stockout,High,4952.02
199,9308,2024-09-02,2024-09-07,Completed,3703.24,On-Time,2,2,Inventory,Stockout,High,3703.24
200,19393,2024-08-10,2024-08-13,Completed,9159.61,On-Time,2,2,Inventory,Stockout,High,9159.61
201,8673,2025-04-24,2025-04-26,Completed,6570.18,On-Time,2,2,Inventory,Stockout,High,6570.18
204,13066,2025-03-05,2025-03-09,Completed,3375.3,On-Time,2,2,Inventory,Stockout,High,3375.3
212,1320,2025-04-12,2025-04-15,Completed,3075.25,On-Time,2,2,Inventory,Stockout,High,3075.25
213,16893,2024-07-24,2024-07-25,Completed,9375.98,On-Time,2,2,Inventory,Stockout,High,9375.98
220,6301,2025-01-09,2025-01-12,Completed,8296.36,On-Time,2,2,Inventory,Stockout,High,8296.36
224,1664,2025-03-03,2025-03-05,Completed,7703.53,On-Time,2,2,Inventory,Stockout,High,7703.53
225,15480,2025-06-08,2025-06-13,Completed,2373.66,On-Time,2,2,Inventory,Stockout,High,2373.66
227,16233,2024-08-15,2024-08-20,Completed,8162.92,On-Time,2,2,Inventory,Stockout,High,8162.92
233,375,2024-11-11,2024-11-15,Completed,9265.24,On-Time,2,2,Inventory,Stockout,High,9265.24
234,15251,2024-11-11,2024-11-14,Completed,515.42,On-Time,2,2,Inventory,Stockout,High,515.42
242,14698,2024-11-24,2024-11-28,Completed,6804.32,On-Time,2,2,Inventory,Stockout,High,6804.32
252,12160,2025-04-12,2025-04-17,Completed,4323.01,On-Time,2,2,Inventory,Stockout,High,4323.01
253,19824,2024-08-17,2024-08-22,Completed,3732.52,On-Time,2,2,Inventory,Stockout,High,3732.52
256,17487,2024-11-02,2024-11-07,Completed,5874.95,On-Time,2,2,Inventory,Stockout,High,5874.95
265,11615,2024-08-19,2024-08-24,Completed,6272.27,On-Time,2,2,Inventory,Stockout,High,6272.27
271,17714,2024-10-15,2024-10-20,Completed,7187.9,On-Time,2,2,Inventory,Stockout,High,7187.9
272,1760,2024-12-17,2024-12-21,Completed,425.73,On-Time,2,2,Inventory,Stockout,High,425.73
273,19517,2024-08-20,2024-08-24,Delayed,3094.95,Delayed,2,2,Inventory,Stockout,High,3094.95
283,14426,2025-02-20,2025-02-21,Completed,5652.86,On-Time,2,2,Inventory,Stockout,High,5652.86
287,4561,2024-07-14,2024-07-18,Completed,5435.04,On-Time,2,2,Inventory,Stockout,High,5435.04
288,2424,2025-05-21,2025-05-24,Completed,5661.5,On-Time,2,2,Inventory,Stockout,High,5661.5
292,805,2025-04-24,2025-04-29,Cancelled,8867.93,Lost,2,2,Inventory,Stockout,High,8867.93
297,2051,2024-07-15,2024-07-20,Completed,6113.24,On-Time,2,2,Inventory,Stockout,High,6113.24
302,5677,2024-10-02,2024-10-05,Completed,6820.77,On-Time,2,2,Inventory,Stockout,High,6820.77
304,16563,2024-07-05,2024-07-09,Completed,6420.49,On-Time,2,2,Inventory,Stockout,High,6420.49
306,3743,2024-07-17,2024-07-20,Delayed,6577.14,Delayed,2,2,Inventory,Stockout,High,6577.14
315,18552,2024-10-20,2024-10-24,Completed,7678.91,On-Time,2,2,Inventory,Stockout,High,7678.91
319,4349,2025-01-19,2025-01-22,Completed,2531.77,On-Time,2,2,Inventory,Stockout,High,2531.77
321,4363,2025-03-02,2025-03-03,Completed,5878.91,On-Time,2,2,Inventory,Stockout,High,5878.91
323,4588,2025-05-12,2025-05-16,Completed,558.49,On-Time,2,2,Inventory,Stockout,High,558.49
329,13041,2024-07-08,2024-07-11,Completed,297.79,On-Time,2,2,Inventory,Stockout,High,297.79
333,372,2024-07-29,2024-08-01,Completed,377.6,On-Time,2,2,Inventory,Stockout,High,377.6
338,12550,2024-07-23,2024-07-24,Completed,1704.93,On-Time,2,2,Inventory,Stockout,High,1704.93
343,784,2025-04-06,2025-04-08,Delayed,1047.8,Delayed,2,2,Inventory,Stockout,High,1047.8
350,14809,2024-09-18,2024-09-19,Cancelled,6508.78,Lost,2,2,Inventory,Stockout,High,6508.78
355,19082,2024-07-07,2024-07-08,Delayed,1650.27,Delayed,2,2,Inventory,Stockout,High,1650.27
359,8054,2024-11-21,2024-11-25,Completed,994.9,On-Time,2,2,Inventory,Stockout,High,994.9
361,16463,2024-10-11,2024-10-16,Completed,11784.54,On-Time,2,2,Inventory,Stockout,High,11784.54
366,11166,2024-08-16,2024-08-17,Completed,9776.66,On-Time,2,2,Inventory,Stockout,High,9776.66
391,17552,2025-01-29,2025-01-31,Completed,9576.96,On-Time,2,2,Inventory,Stockout,High,9576.96
401,15536,2024-10-22,2024-10-24,Completed,3130.95,On-Time,2,2,Inventory,Stockout,High,3130.95
416,8154,2024-12-12,2024-12-17,Completed,883.6,On-Time,2,2,Inventory,Stockout,High,883.6
427,2460,2025-04-20,2025-04-24,Delayed,4963.6,Delayed,2,2,Inventory,Stockout,High,4963.6
428,9522,2024-08-21,2024-08-24,Completed,3536.89,On-Time,2,2,Inventory,Stockout,High,3536.89
433,14441,2025-04-18,2025-04-22,Completed,9121.42,On-Time,2,2,Inventory,Stockout,High,9121.42
437,10507,2025-02-26,2025-03-02,Delayed,1756.48,Delayed,2,2,Inventory,Stockout,High,1756.48
445,6245,2024-11-08,2024-11-13,Completed,4896.48,On-Time,2,2,Inventory,Stockout,High,4896.48
450,7122,2025-02-17,2025-02-19,Completed,9535.07,On-Time,2,2,Inventory,Stockout,High,9535.07
454,6685,2025-06-15,2025-06-18,Completed,2476.77,On-Time,2,2,Inventory,Stockout,High,2476.77
458,9640,2025-05-14,2025-05-18,Delayed,7825.97,Delayed,2,2,Inventory,Stockout,High,7825.97
461,19559,2024-12-17,2024-12-21,Completed,1979.52,On-Time,2,2,Inventory,Stockout,High,1979.52
464,17384,2024-12-26,2024-12-28,Completed,2632.02,On-Time,2,2,Inventory,Stockout,High,2632.02
476,6368,2025-01-28,2025-02-02,Completed,1607.25,On-Time,2,2,Inventory,Stockout,High,1607.25
479,6341,2024-12-17,2024-12-20,Completed,1349.41,On-Time,2,2,Inventory,Stockout,High,1349.41
482,15958,2024-11-19,2024-11-22,Completed,6592.32,On-Time,2,2,Inventory,Stockout,High,6592.32
483,2471,2025-04-09,2025-04-10,Completed,5465.16,On-Time,2,2,Inventory,Stockout,High,5465.16
494,3714,2024-09-15,2024-09-17,Completed,3306.91,On-Time,2,2,Inventory,Stockout,High,3306.91
496,5900,2024-11-02,2024-11-03,Cancelled,12592.58,Lost,2,2,Inventory,Stockout,High,12592.58
504,18940,2025-01-26,2025-01-29,Completed,231.27,On-Time,2,2,Inventory,Stockout,High,231.27
509,13126,2024-10-26,2024-10-30,Completed,876.1,On-Time,2,2,Inventory,Stockout,High,876.1
514,11572,2024-10-31,2024-11-01,Delayed,2792.52,Delayed,2,2,Inventory,Stockout,High,2792.52
517,16820,2024-07-03,2024-07-06,Completed,4819.14,On-Time,2,2,Inventory,Stockout,High,4819.14
522,6645,2025-03-13,2025-03-15,Completed,4095.68,On-Time,2,2,Inventory,Stockout,High,4095.68
532,3244,2025-02-01,2025-02-05,Cancelled,13917.22,Lost,2,2,Inventory,Stockout,High,13917.22
552,16174,2025-02-10,2025-02-11,Delayed,137.24,Delayed,2,2,Inventory,Stockout,High,137.24
560,19041,2024-08-31,2024-09-04,Completed,389.89,On-Time,2,2,Inventory,Stockout,High,389.89
565,5255,2025-06-22,2025-06-26,Completed,18864.8,On-Time,2,2,Inventory,Stockout,High,18864.8
566,12421,2024-08-05,2024-08-10,Completed,5818.53,On-Time,2,2,Inventory,Stockout,High,5818.53
572,12094,2024-08-06,2024-08-07,Completed,2155.39,On-Time,2,2,Inventory,Stockout,High,2155.39
575,11730,2025-01-14,2025-01-16,Completed,12030.7,On-Time,2,2,Inventory,Stockout,High,12030.7
590,8604,2025-01-18,2025-01-20,Cancelled,3812.59,Lost,2,2,Inventory,Stockout,High,3812.59
592,2936,2025-05-30,2025-06-04,Completed,10224.1,On-Time,2,2,Inventory,Stockout,High,10224.1
601,16055,2024-08-15,2024-08-17,Completed,4992.47,On-Time,2,2,Inventory,Stockout,High,4992.47
605,6776,2024-11-01,2024-11-06,Cancelled,5764.76,Lost,2,2,Inventory,Stockout,High,5764.76
610,6333,2024-08-10,2024-08-14,Completed,10250.63,On-Time,2,2,Inventory,Stockout,High,10250.63
612,16055,2024-10-22,2024-10-24,Completed,3045.72,On-Time,2,2,Inventory,Stockout,High,3045.72
624,11437,2025-05-04,2025-05-05,Delayed,11477.99,Delayed,2,2,Inventory,Stockout,High,11477.99
644,14455,2025-04-22,2025-04-25,Completed,6291.03,On-Time,2,2,Inventory,Stockout,High,6291.03
646,10204,2025-03-21,2025-03-22,Delayed,9242.98,Delayed,2,2,Inventory,Stockout,High,9242.98
651,12848,2025-02-26,2025-02-28,Completed,5473.86,On-Time,2,2,Inventory,Stockout,High,5473.86
658,18938,2025-05-22,2025-05-23,Delayed,6180.15,Delayed,2,2,Inventory,Stockout,High,6180.15
659,11281,2025-02-14,2025-02-16,Completed,6755.96,On-Time,2,2,Inventory,Stockout,High,6755.96
664,4719,2024-09-17,2024-09-20,Completed,1148.13,On-Time,2,2,Inventory,Stockout,High,1148.13
665,14944,2025-03-07,2025-03-11,Completed,1019.16,On-Time,2,2,Inventory,Stockout,High,1019.16
674,17282,2024-08-27,2024-09-01,Completed,6782.36,On-Time,2,2,Inventory,Stockout,High,6782.36
684,6055,2024-07-30,2024-08-04,Completed,10279.11,On-Time,2,2,Inventory,Stockout,High,10279.11
688,14470,2025-05-09,2025-05-13,Completed,5658.98,On-Time,2,2,Inventory,Stockout,High,5658.98
694,15942,2025-05-28,2025-05-30,Completed,9624.77,On-Time,2,2,Inventory,Stockout,High,9624.77
695,7815,2024-08-13,2024-08-17,Delayed,5650.73,Delayed,2,2,Inventory,Stockout,High,5650.73
698,4278,2025-06-13,2025-06-18,Completed,8007.41,On-Time,2,2,Inventory,Stockout,High,8007.41
706,16381,2025-02-16,2025-02-20,Delayed,1178.95,Delayed,2,2,Inventory,Stockout,High,1178.95
709,9341,2025-03-12,2025-03-14,Completed,2431.2,On-Time,2,2,Inventory,Stockout,High,2431.2
713,4750,2024-10-30,2024-11-03,Completed,8627.66,On-Time,2,2,Inventory,Stockout,High,8627.66
717,16031,2025-04-22,2025-04-27,Completed,1204.2,On-Time,2,2,Inventory,Stockout,High,1204.2
721,522,2024-07-07,2024-07-11,Completed,1693.08,On-Time,2,2,Inventory,Stockout,High,1693.08
722,13283,2025-03-03,2025-03-06,Completed,6318.52,On-Time,2,2,Inventory,Stockout,High,6318.52
727,6875,2025-06-29,2025-07-01,Completed,9751.35,On-Time,2,2,Inventory,Stockout,High,9751.35
730,9043,2025-06-10,2025-06-11,Completed,3098.66,On-Time,2,2,Inventory,Stockout,High,3098.66
732,7613,2025-01-30,2025-02-04,Delayed,4248.04,Delayed,2,2,Inventory,Stockout,High,4248.04
735,17542,2024-11-25,2024-11-26,Delayed,2802.84,Delayed,2,2,Inventory,Stockout,High,2802.84
736,10376,2024-11-24,2024-11-26,Delayed,1369.24,Delayed,2,2,Inventory,Stockout,High,1369.24
739,16627,2025-02-20,2025-02-23,Completed,1943.6,On-Time,2,2,Inventory,Stockout,High,1943.6
744,13028,2025-03-20,2025-03-24,Completed,6368.47,On-Time,2,2,Inventory,Stockout,High,6368.47
747,12314,2024-08-14,2024-08-16,Completed,9350.13,On-Time,2,2,Inventory,Stockout,High,9350.13
762,2548,2024-09-04,2024-09-06,Completed,2053.92,On-Time,2,2,Inventory,Stockout,High,2053.92
780,2236,2025-03-08,2025-03-12,Delayed,1547.44,Delayed,2,2,Inventory,Stockout,High,1547.44
781,17038,2025-03-13,2025-03-14,Completed,8545.07,On-Time,2,2,Inventory,Stockout,High,8545.07
782,11260,2025-03-10,2025-03-14,Completed,7421.28,On-Time,2,2,Inventory,Stockout,High,7421.28
798,6113,2025-06-09,2025-06-14,Completed,3548.75,On-Time,2,2,Inventory,Stockout,High,3548.75
799,1963,2025-04-22,2025-04-26,Completed,11583.87,On-Time,2,2,Inventory,Stockout,High,11583.87
804,653,2025-06-03,2025-06-08,Completed,3665.96,On-Time,2,2,Inventory,Stockout,High,3665.96
808,8334,2025-04-26,2025-04-30,Completed,2691.8,On-Time,2,2,Inventory,Stockout,High,2691.8
818,5961,2024-12-15,2024-12-18,Completed,1347.84,On-Time,2,2,Inventory,Stockout,High,1347.84
820,19674,2024-08-15,2024-08-19,Completed,6478.28,On-Time,2,2,Inventory,Stockout,High,6478.28
823,13708,2025-03-11,2025-03-15,Completed,3048.54,On-Time,2,2,Inventory,Stockout,High,3048.54
824,7717,2024-10-01,2024-10-05,Completed,2738.13,On-Time,2,2,Inventory,Stockout,High,2738.13
825,10593,2025-05-13,2025-05-17,Completed,3406.11,On-Time,2,2,Inventory,Stockout,High,3406.11
826,1926,2025-06-20,2025-06-24,Delayed,5868.88,Delayed,2,2,Inventory,Stockout,High,5868.88
827,16533,2024-07-27,2024-07-30,Completed,3345.3,On-Time,2,2,Inventory,Stockout,High,3345.3
833,15900,2025-02-26,2025-03-01,Completed,5056.34,On-Time,2,2,Inventory,Stockout,High,5056.34
838,15724,2024-08-24,2024-08-27,Completed,940.76,On-Time,2,2,Inventory,Stockout,High,940.76
840,10590,2024-12-14,2024-12-19,Completed,3878.55,On-Time,2,2,Inventory,Stockout,High,3878.55
843,16044,2025-06-16,2025-06-21,Cancelled,2935.7,Lost,2,2,Inventory,Stockout,High,2935.7
856,9861,2024-10-16,2024-10-20,Completed,5082.84,On-Time,2,2,Inventory,Stockout,High,5082.84
862,19730,2024-09-21,2024-09-24,Completed,12960.03,On-Time,2,2,Inventory,Stockout,High,12960.03
863,15478,2025-06-02,2025-06-06,Completed,5782.19,On-Time,2,2,Inventory,Stockout,High,5782.19
864,6537,2024-09-21,2024-09-26,Completed,3859.95,On-Time,2,2,Inventory,Stockout,High,3859.95
866,11067,2024-12-03,2024-12-05,Completed,6717.87,On-Time,2,2,Inventory,Stockout,High,6717.87
872,13600,2024-11-24,2024-11-29,Completed,1124.19,On-Time,2,2,Inventory,Stockout,High,1124.19
873,11855,2025-01-01,2025-01-03,Completed,12921.33,On-Time,2,2,Inventory,Stockout,High,12921.33
874,2281,2024-07-16,2024-07-20,Completed,1767.3,On-Time,2,2,Inventory,Stockout,High,1767.3
884,19084,2025-01-10,2025-01-15,Completed,554.2,On-Time,2,2,Inventory,Stockout,High,554.2
895,7630,2025-06-07,2025-06-11,Completed,8130.57,On-Time,2,2,Inventory,Stockout,High,8130.57
897,18385,2025-05-27,2025-05-28,Completed,1970.61,On-Time,2,2,Inventory,Stockout,High,1970.61
904,5545,2024-11-24,2024-11-26,Completed,4217.02,On-Time,2,2,Inventory,Stockout,High,4217.02
907,18125,2025-05-02,2025-05-07,Completed,6246.66,On-Time,2,2,Inventory,Stockout,High,6246.66
915,10540,2024-11-21,2024-11-25,Completed,7108.19,On-Time,2,2,Inventory,Stockout,High,7108.19
944,1439,2025-04-11,2025-04-12,Completed,3121.8,On-Time,2,2,Inventory,Stockout,High,3121.8
945,11136,2024-07-16,2024-07-18,Completed,5031.55,On-Time,2,2,Inventory,Stockout,High,5031.55
946,3316,2025-04-10,2025-04-12,Completed,3761.74,On-Time,2,2,Inventory,Stockout,High,3761.74
955,8341,2024-10-29,2024-11-02,Completed,7415.43,On-Time,2,2,Inventory,Stockout,High,7415.43
956,17001,2025-04-08,2025-04-09,Completed,699.12,On-Time,2,2,Inventory,Stockout,High,699.12
962,13296,2024-12-02,2024-12-05,Completed,10210.98,On-Time,2,2,Inventory,Stockout,High,10210.98
970,16011,2025-06-11,2025-06-16,Completed,2755.2,On-Time,2,2,Inventory,Stockout,High,2755.2
971,9301,2024-07-14,2024-07-16,Completed,808.44,On-Time,2,2,Inventory,Stockout,High,808.44
973,15558,2024-09-19,2024-09-20,Completed,6257.44,On-Time,2,2,Inventory,Stockout,High,6257.44
983,5808,2025-02-27,2025-03-02,Completed,570.32,On-Time,2,2,Inventory,Stockout,High,570.32
987,478,2024-11-05,2024-11-08,Completed,1171.9,On-Time,2,2,Inventory,Stockout,High,1171.9
993,5619,2024-07-23,2024-07-24,Completed,12247.37,On-Time,2,2,Inventory,Stockout,High,12247.37
1002,17985,2024-10-07,2024-10-08,Cancelled,2102.97,Lost,2,2,Inventory,Stockout,High,2102.97
1004,8909,2024-09-23,2024-09-25,Completed,7081.9,On-Time,2,2,Inventory,Stockout,High,7081.9
1016,2289,2024-09-12,2024-09-15,Completed,5353.61,On-Time,2,2,Inventory,Stockout,High,5353.61
1018,6288,2024-10-10,2024-10-14,Completed,5111.13,On-Time,2,2,Inventory,Stockout,High,5111.13
1024,17388,2025-02-19,2025-02-23,Completed,357.33,On-Time,2,2,Inventory,Stockout,High,357.33
1028,15297,2025-05-07,2025-05-09,Completed,12282.69,On-Time,2,2,Inventory,Stockout,High,12282.69
1030,15608,2025-02-08,2025-02-09,Completed,6423.54,On-Time,2,2,Inventory,Stockout,High,6423.54
1031,2120,2025-06-09,2025-06-10,Completed,10166.89,On-Time,2,2,Inventory,Stockout,High,10166.89
1040,13843,2025-06-24,2025-06-25,Completed,10248.64,On-Time,2,2,Inventory,Stockout,High,10248.64
1043,3341,2024-09-13,2024-09-15,Completed,2827.52,On-Time,2,2,Inventory,Stockout,High,2827.52
1046,2937,2024-07-18,2024-07-19,Completed,4399.85,On-Time,2,2,Inventory,Stockout,High,4399.85
1051,10299,2024-10-01,2024-10-06,Completed,1362.28,On-Time,2,2,Inventory,Stockout,High,1362.28
1052,11914,2024-09-01,2024-09-02,Completed,7873.19,On-Time,2,2,Inventory,Stockout,High,7873.19
1060,17416,2024-07-14,2024-07-19,Delayed,492.19,Delayed,2,2,Inventory,Stockout,High,492.19
1062,7282,2024-12-18,2024-12-21,Delayed,1796.28,Delayed,2,2,Inventory,Stockout,High,1796.28
1065,15626,2024-12-10,2024-12-14,Completed,8711.98,On-Time,2,2,Inventory,Stockout,High,8711.98
1067,13706,2025-06-02,2025-06-04,Completed,6708.3,On-Time,2,2,Inventory,Stockout,High,6708.3
1068,10001,2025-06-27,2025-07-01,Completed,9706.68,On-Time,2,2,Inventory,Stockout,High,9706.68
1073,16833,2024-09-25,2024-09-30,Completed,2175.91,On-Time,2,2,Inventory,Stockout,High,2175.91
1080,3562,2024-09-18,2024-09-21,Delayed,5555.75,Delayed,2,2,Inventory,Stockout,High,5555.75
1081,6504,2025-02-10,2025-02-14,Completed,5049.15,On-Time,2,2,Inventory,Stockout,High,5049.15
1083,3893,2024-12-17,2024-12-18,Completed,3120.83,On-Time,2,2,Inventory,Stockout,High,3120.83
1085,14080,2024-07-11,2024-07-13,Completed,3580.47,On-Time,2,2,Inventory,Stockout,High,3580.47
1087,14063,2025-03-19,2025-03-21,Completed,3420.18,On-Time,2,2,Inventory,Stockout,High,3420.18
1089,17203,2024-11-18,2024-11-20,Completed,5761.32,On-Time,2,2,Inventory,Stockout,High,5761.32
1090,9971,2024-12-04,2024-12-06,Completed,4626.71,On-Time,2,2,Inventory,Stockout,High,4626.71
1096,11237,2024-08-14,2024-08-15,Completed,6110.39,On-Time,2,2,Inventory,Stockout,High,6110.39
1097,11382,2024-12-02,2024-12-06,Completed,8218.14,On-Time,2,2,Inventory,Stockout,High,8218.14
1099,16222,2025-05-03,2025-05-06,Cancelled,8628.81,Lost,2,2,Inventory,Stockout,High,8628.81
1103,9564,2024-08-30,2024-09-01,Completed,1644.16,On-Time,2,2,Inventory,Stockout,High,1644.16
1108,3071,2024-12-14,2024-12-17,Completed,13724.16,On-Time,2,2,Inventory,Stockout,High,13724.16
1114,5346,2024-12-21,2024-12-22,Completed,6008.97,On-Time,2,2,Inventory,Stockout,High,6008.97
1117,787,2025-03-19,2025-03-23,Completed,233.22,On-Time,2,2,Inventory,Stockout,High,233.22
1126,2860,2025-03-30,2025-04-04,Completed,6527.67,On-Time,2,2,Inventory,Stockout,High,6527.67
1129,3842,2024-11-02,2024-11-04,Completed,572.8,On-Time,2,2,Inventory,Stockout,High,572.8
1133,11054,2025-01-30,2025-02-01,Completed,6408.27,On-Time,2,2,Inventory,Stockout,High,6408.27
1139,920,2025-05-28,2025-06-01,Completed,6205.24,On-Time,2,2,Inventory,Stockout,High,6205.24
1140,7876,2024-10-31,2024-11-03,Completed,11138.57,On-Time,2,2,Inventory,Stockout,High,11138.57
1145,11807,2024-10-19,2024-10-21,Completed,7995.29,On-Time,2,2,Inventory,Stockout,High,7995.29
1158,8976,2024-11-16,2024-11-19,Delayed,365.82,Delayed,2,2,Inventory,Stockout,High,365.82
1161,18956,2025-03-01,2025-03-06,Delayed,9513.89,Delayed,2,2,Inventory,Stockout,High,9513.89
1164,19692,2024-08-19,2024-08-20,Completed,4718.15,On-Time,2,2,Inventory,Stockout,High,4718.15
1171,7338,2025-01-12,2025-01-13,Completed,8117.63,On-Time,2,2,Inventory,Stockout,High,8117.63
1173,5585,2024-07-08,2024-07-09,Completed,10994.12,On-Time,2,2,Inventory,Stockout,High,10994.12
1174,14061,2025-04-19,2025-04-23,Delayed,13190.83,Delayed,2,2,Inventory,Stockout,High,13190.83
1175,16524,2024-09-04,2024-09-08,Completed,4365.92,On-Time,2,2,Inventory,Stockout,High,4365.92
1178,17545,2025-05-21,2025-05-24,Completed,1160.04,On-Time,2,2,Inventory,Stockout,High,1160.04
1181,6815,2024-09-01,2024-09-02,Completed,3369.24,On-Time,2,2,Inventory,Stockout,High,3369.24
1183,333,2025-05-17,2025-05-18,Completed,7267.27,On-Time,2,2,Inventory,Stockout,High,7267.27
1186,967,2025-03-23,2025-03-28,Completed,3735.83,On-Time,2,2,Inventory,Stockout,High,3735.83
1187,8769,2024-12-15,2024-12-17,Completed,1011.5,On-Time,2,2,Inventory,Stockout,High,1011.5
1188,9645,2024-11-18,2024-11-22,Completed,4798.25,On-Time,2,2,Inventory,Stockout,High,4798.25
1194,10304,2024-12-13,2024-12-17,Completed,4703.31,On-Time,2,2,Inventory,Stockout,High,4703.31
1197,19920,2024-10-17,2024-10-22,Completed,2928.72,On-Time,2,2,Inventory,Stockout,High,2928.72
1205,17615,2025-06-18,2025-06-22,Completed,4131.06,On-Time,2,2,Inventory,Stockout,High,4131.06
1209,2714,2024-12-12,2024-12-16,Completed,1615.74,On-Time,2,2,Inventory,Stockout,High,1615.74
1210,1975,2024-12-28,2025-01-02,Completed,2101.64,On-Time,2,2,Inventory,Stockout,High,2101.64
1211,17290,2024-10-17,2024-10-18,Cancelled,10919.09,Lost,2,2,Inventory,Stockout,High,10919.09
1216,10936,2024-12-29,2025-01-02,Completed,1893.05,On-Time,2,2,Inventory,Stockout,High,1893.05
1231,8976,2025-03-12,2025-03-13,Delayed,7766.44,Delayed,2,2,Inventory,Stockout,High,7766.44
1244,15166,2025-03-20,2025-03-23,Completed,8475.12,On-Time,2,2,Inventory,Stockout,High,8475.12
1249,14543,2024-08-04,2024-08-05,Completed,7322.35,On-Time,2,2,Inventory,Stockout,High,7322.35
1252,15744,2024-10-03,2024-10-05,Completed,5685.14,On-Time,2,2,Inventory,Stockout,High,5685.14
