po_id,vendor_id,created_date,expected_delivery,actual_delivery,status,total_amount
78,170,2024-12-14 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,Closed,1361.6
79,50,2025-05-17 00:00:00,2025-05-22 00:00:00,2025-05-22 00:00:00,Closed,1465.48
80,64,2025-04-14 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,Closed,1078.26
81,36,2025-03-20 00:00:00,2025-03-26 00:00:00,2025-03-26 00:00:00,Closed,3663.44
82,47,2025-04-27 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,Closed,4300.3
83,175,2025-04-24 00:00:00,2025-04-30 00:00:00,2025-05-08 00:00:00,Late,814.6
84,170,2024-07-11 00:00:00,2024-07-12 00:00:00,2024-07-12 00:00:00,Closed,4587.45
85,105,2024-12-06 00:00:00,2024-12-08 00:00:00,2024-12-09 00:00:00,Late,2882.94
86,50,2025-06-24 00:00:00,2025-06-30 00:00:00,2025-07-05 00:00:00,Late,2930.96
87,112,2025-05-23 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,Closed,4875.65
88,54,2025-05-13 00:00:00,2025-05-20 00:00:00,2025-05-20 00:00:00,Closed,896.55
89,29,2024-07-05 00:00:00,2024-07-11 00:00:00,2024-07-11 00:00:00,Closed,1554.72
90,81,2024-11-17 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,Closed,597.21
91,90,2025-05-07 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,Closed,368.52
92,126,2025-06-01 00:00:00,2025-06-05 00:00:00,2025-06-05 00:00:00,Closed,1124.19
93,63,2025-05-12 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,Closed,3875.6
94,95,2025-03-23 00:00:00,2025-03-26 00:00:00,2025-03-26 00:00:00,Closed,3921.12
95,15,2025-05-04 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,Closed,100.12
96,66,2025-04-22 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,Closed,3462.2
97,72,2024-09-22 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,Closed,1305.15
98,88,2024-08-17 00:00:00,2024-08-18 00:00:00,2024-08-18 00:00:00,Closed,229.35
99,25,2025-03-01 00:00:00,2025-03-04 00:00:00,2025-03-04 00:00:00,Closed,3565.64
100,49,2024-12-26 00:00:00,2024-12-30 00:00:00,2024-12-30 00:00:00,Closed,1076.74
101,44,2025-01-06 00:00:00,2025-01-12 00:00:00,2025-01-12 00:00:00,Closed,2290
102,64,2025-01-06 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,Closed,1078.26
103,120,2024-09-01 00:00:00,2024-09-05 00:00:00,2024-09-05 00:00:00,Closed,1766.01
104,143,2024-12-09 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,Closed,382.73
105,84,2025-05-23 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,Closed,858.76
106,193,2024-10-24 00:00:00,2024-10-28 00:00:00,2024-10-28 00:00:00,Closed,880.2
107,132,2025-06-24 00:00:00,2025-06-27 00:00:00,2025-06-27 00:00:00,Closed,3325.3
108,28,2024-09-11 00:00:00,2024-09-12 00:00:00,2024-09-12 00:00:00,Closed,2856.33
109,193,2025-02-15 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,Closed,4273.45
110,80,2025-04-12 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,Closed,2771.6
111,31,2025-01-07 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,Closed,835.29
112,154,2024-09-24 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,Closed,1448.28
113,194,2024-10-07 00:00:00,2024-10-09 00:00:00,2024-10-09 00:00:00,Closed,649.62
114,40,2024-08-14 00:00:00,2024-08-19 00:00:00,2024-08-19 00:00:00,Closed,2837.64
115,22,2024-08-14 00:00:00,2024-08-18 00:00:00,2024-08-18 00:00:00,Closed,637.46
116,33,2025-05-08 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,Closed,3477.68
117,123,2025-05-22 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,Closed,470.08
118,114,2025-02-13 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,Closed,2850.03
119,161,2024-10-31 00:00:00,2024-11-06 00:00:00,2024-11-06 00:00:00,Closed,1241.02
120,195,2024-08-04 00:00:00,2024-08-10 00:00:00,2024-08-10 00:00:00,Closed,1813.2
121,104,2024-07-11 00:00:00,2024-07-15 00:00:00,2024-07-15 00:00:00,Closed,378.9
122,75,2025-06-24 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,Closed,1449.82
123,70,2024-11-04 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,Closed,1439.64
124,52,2025-04-10 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,Closed,1555.06
125,108,2024-07-02 00:00:00,2024-07-05 00:00:00,2024-07-06 00:00:00,Late,1860.03
126,131,2024-11-24 00:00:00,2024-11-29 00:00:00,2024-11-29 00:00:00,Closed,1261
127,85,2024-08-31 00:00:00,2024-09-01 00:00:00,2024-09-01 00:00:00,Closed,1162.29
128,22,2025-01-26 00:00:00,2025-01-31 00:00:00,2025-01-31 00:00:00,Closed,3439.88
129,154,2025-03-07 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,Closed,1444.05
130,2,2024-10-18 00:00:00,2024-10-19 00:00:00,2024-10-19 00:00:00,Closed,1811.08
131,136,2024-10-18 00:00:00,2024-10-26 00:00:00,2024-10-26 00:00:00,Closed,841.08
132,63,2024-08-07 00:00:00,2024-08-11 00:00:00,2024-08-11 00:00:00,Closed,986.06
133,174,2024-07-27 00:00:00,2024-08-01 00:00:00,2024-08-01 00:00:00,Closed,1023.24
134,20,2025-01-12 00:00:00,2025-01-19 00:00:00,2025-01-19 00:00:00,Closed,2914.65
135,33,2024-10-26 00:00:00,2024-10-29 00:00:00,2024-10-29 00:00:00,Closed,2608.26
136,10,2025-05-04 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,Closed,1710.35
137,90,2025-01-12 00:00:00,2025-01-18 00:00:00,2025-01-18 00:00:00,Closed,1720.5
138,37,2024-08-19 00:00:00,2024-08-24 00:00:00,2024-08-24 00:00:00,Closed,462.96
139,38,2025-04-11 00:00:00,2025-04-17 00:00:00,2025-04-25 00:00:00,Late,681.48
140,38,2025-05-02 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,Closed,657.43
141,12,2024-11-09 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00,Closed,885.12
142,79,2025-05-20 00:00:00,2025-05-26 00:00:00,2025-05-27 00:00:00,Late,2423.56
143,20,2024-11-28 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,Closed,971.55
144,15,2025-02-01 00:00:00,2025-02-06 00:00:00,2025-02-09 00:00:00,Late,300.36
145,4,2025-02-04 00:00:00,2025-02-10 00:00:00,2025-02-10 00:00:00,Closed,4563.55
146,9,2024-12-29 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,Late,742.49
147,4,2025-01-15 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,Closed,3650.84
148,5,2025-04-16 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,Closed,3449.88
149,40,2024-08-07 00:00:00,2024-08-09 00:00:00,2024-08-09 00:00:00,Closed,2837.64
150,81,2025-01-04 00:00:00,2025-01-10 00:00:00,2025-01-10 00:00:00,Closed,2570.01
151,195,2025-02-26 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,Closed,453.3
152,103,2025-02-17 00:00:00,2025-02-20 00:00:00,2025-02-20 00:00:00,Closed,1024.8
153,37,2025-04-06 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,Closed,231.48
154,109,2024-12-14 00:00:00,2024-12-19 00:00:00,2024-12-19 00:00:00,Closed,2408.84
155,136,2024-08-25 00:00:00,2024-08-30 00:00:00,2024-08-30 00:00:00,Closed,1139.46
156,31,2025-02-08 00:00:00,2025-02-15 00:00:00,2025-02-20 00:00:00,Late,4176.45
157,75,2025-01-03 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,Closed,3624.55
158,92,2024-11-03 00:00:00,2024-11-10 00:00:00,2024-11-10 00:00:00,Closed,912.59
159,108,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-04 00:00:00,Closed,853.12
160,92,2025-06-10 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,Closed,861.07
161,186,2024-11-26 00:00:00,2024-12-01 00:00:00,2024-12-01 00:00:00,Closed,646.6
162,32,2025-01-06 00:00:00,2025-01-10 00:00:00,2025-01-10 00:00:00,Closed,1898.4
163,14,2025-01-01 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,Closed,1747.5
164,83,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,Closed,2149.56
165,34,2025-04-06 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,Closed,3671.64
166,20,2024-08-21 00:00:00,2024-08-29 00:00:00,2024-08-29 00:00:00,Closed,2928.72
167,48,2025-02-23 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,Closed,3847.4
168,42,2024-10-03 00:00:00,2024-10-11 00:00:00,2024-10-11 00:00:00,Closed,1990
169,112,2024-07-12 00:00:00,2024-07-17 00:00:00,2024-07-17 00:00:00,Closed,1909.47
170,82,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,Closed,210.48
171,65,2025-03-17 00:00:00,2025-03-19 00:00:00,2025-03-19 00:00:00,Closed,434.32
172,69,2025-03-03 00:00:00,2025-03-09 00:00:00,2025-03-18 00:00:00,Late,2502.96
173,98,2024-09-11 00:00:00,2024-09-16 00:00:00,2024-09-16 00:00:00,Closed,292.36
174,187,2024-09-07 00:00:00,2024-09-13 00:00:00,2024-09-13 00:00:00,Closed,1804.9
175,107,2025-01-14 00:00:00,2025-01-22 00:00:00,2025-01-22 00:00:00,Closed,1090.52
176,179,2024-08-15 00:00:00,2024-08-17 00:00:00,2024-08-17 00:00:00,Closed,1145.6
177,52,2025-05-23 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,Closed,1038.03
178,184,2024-12-22 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,Closed,3358.5
179,29,2025-02-05 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,Closed,904.55
180,58,2024-07-06 00:00:00,2024-07-13 00:00:00,2024-07-13 00:00:00,Closed,1450.4
181,20,2025-04-24 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,Closed,281.34
182,32,2024-08-09 00:00:00,2024-08-16 00:00:00,2024-08-16 00:00:00,Closed,2358.9
183,145,2025-02-28 00:00:00,2025-03-09 00:00:00,2025-03-09 00:00:00,Closed,790.11
184,11,2025-01-01 00:00:00,2025-01-09 00:00:00,2025-01-09 00:00:00,Closed,385.48
185,143,2025-03-16 00:00:00,2025-03-20 00:00:00,2025-03-20 00:00:00,Closed,474.71
186,75,2025-05-19 00:00:00,2025-05-22 00:00:00,2025-05-22 00:00:00,Closed,1767.2
187,109,2025-02-21 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,Closed,1204.42
188,41,2024-11-15 00:00:00,2024-11-17 00:00:00,2024-11-24 00:00:00,Late,2246.4
189,152,2024-09-07 00:00:00,2024-09-11 00:00:00,2024-09-11 00:00:00,Closed,1542.8
190,51,2024-08-27 00:00:00,2024-08-29 00:00:00,2024-08-29 00:00:00,Closed,3994
191,136,2025-02-26 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,Closed,539.92
192,44,2024-07-16 00:00:00,2024-07-18 00:00:00,2024-07-18 00:00:00,Closed,458
193,34,2024-09-29 00:00:00,2024-10-04 00:00:00,2024-10-04 00:00:00,Closed,3671.64
194,77,2025-05-09 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,Closed,430.86
195,145,2024-11-20 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,Closed,1759.84
196,144,2024-10-08 00:00:00,2024-10-11 00:00:00,2024-10-11 00:00:00,Closed,930.03
197,5,2024-09-13 00:00:00,2024-09-19 00:00:00,2024-09-19 00:00:00,Closed,3449.88
198,200,2024-09-02 00:00:00,2024-09-07 00:00:00,2024-09-07 00:00:00,Closed,698.8
199,7,2024-10-31 00:00:00,2024-11-03 00:00:00,2024-11-03 00:00:00,Closed,1897.15
200,44,2024-11-11 00:00:00,2024-11-20 00:00:00,2024-11-20 00:00:00,Closed,458
201,67,2025-04-15 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,Closed,319.68
202,142,2024-12-08 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,Closed,807.36
203,49,2024-08-06 00:00:00,2024-08-09 00:00:00,2024-08-09 00:00:00,Closed,1821.68
204,15,2025-05-30 00:00:00,2025-06-03 00:00:00,2025-06-03 00:00:00,Closed,2606.07
205,85,2024-09-24 00:00:00,2024-09-27 00:00:00,2024-09-27 00:00:00,Closed,2957.08
206,70,2025-01-25 00:00:00,2025-01-28 00:00:00,2025-01-28 00:00:00,Closed,2159.46
207,110,2024-07-09 00:00:00,2024-07-13 00:00:00,2024-07-13 00:00:00,Closed,2875.56
208,51,2024-10-22 00:00:00,2024-10-29 00:00:00,2024-10-29 00:00:00,Closed,268.05
209,171,2024-09-06 00:00:00,2024-09-22 00:00:00,2024-09-29 00:00:00,Late,1640.9
210,10,2024-12-01 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,Closed,1499.25
211,103,2024-08-17 00:00:00,2024-08-22 00:00:00,2024-08-22 00:00:00,Closed,1366.4
212,116,2024-11-26 00:00:00,2024-12-01 00:00:00,2024-12-01 00:00:00,Closed,234.32
213,39,2025-05-01 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,Closed,1981.89
214,82,2025-01-08 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,Closed,841.92
215,190,2024-11-17 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,Closed,703.32
216,75,2024-12-20 00:00:00,2024-12-22 00:00:00,2024-12-22 00:00:00,Closed,2650.8
217,28,2025-05-13 00:00:00,2025-05-18 00:00:00,2025-05-18 00:00:00,Closed,1904.22
218,128,2024-09-12 00:00:00,2024-09-18 00:00:00,2024-09-18 00:00:00,Closed,549.84
219,66,2025-03-27 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,Closed,1145.38
220,154,2024-11-20 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,Closed,1032
221,190,2025-02-19 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,Closed,2949.56
222,73,2025-01-07 00:00:00,2025-01-10 00:00:00,2025-01-10 00:00:00,Closed,394.08
223,20,2024-12-08 00:00:00,2024-12-09 00:00:00,2024-12-09 00:00:00,Closed,451.3
224,128,2024-09-23 00:00:00,2024-09-29 00:00:00,2024-09-29 00:00:00,Closed,412.38
225,197,2025-06-13 00:00:00,2025-06-17 00:00:00,2025-06-17 00:00:00,Closed,337.64
226,195,2025-02-12 00:00:00,2025-02-18 00:00:00,2025-02-18 00:00:00,Closed,892.19
227,197,2024-10-12 00:00:00,2024-10-15 00:00:00,2024-10-15 00:00:00,Closed,1012.92
228,179,2025-06-08 00:00:00,2025-06-13 00:00:00,2025-06-13 00:00:00,Closed,790.2
229,122,2024-11-07 00:00:00,2024-11-11 00:00:00,2024-11-11 00:00:00,Closed,1422.72
230,1,2024-10-01 00:00:00,2024-10-07 00:00:00,2024-10-07 00:00:00,Closed,784.98
231,127,2024-07-11 00:00:00,2024-07-18 00:00:00,2024-07-27 00:00:00,Late,1892.6
232,143,2024-09-15 00:00:00,2024-09-22 00:00:00,2024-09-22 00:00:00,Closed,1424.13
233,48,2025-04-23 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,Closed,2885.55
234,195,2025-03-29 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,Closed,3299.16
235,47,2025-02-16 00:00:00,2025-02-22 00:00:00,2025-02-22 00:00:00,Closed,621.27
236,146,2025-02-04 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,Closed,2909.04
237,138,2024-11-17 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,Closed,651.33
238,143,2024-09-04 00:00:00,2024-09-08 00:00:00,2024-09-08 00:00:00,Closed,507.5
239,134,2024-12-01 00:00:00,2024-12-05 00:00:00,2024-12-05 00:00:00,Closed,1803.92
240,111,2025-04-08 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,Closed,2412.7
241,95,2025-06-03 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,Closed,4901.4
242,121,2025-06-27 00:00:00,2025-07-03 00:00:00,2025-07-03 00:00:00,Closed,1156.35
243,64,2024-08-11 00:00:00,2024-08-16 00:00:00,2024-08-18 00:00:00,Late,509.58
244,77,2024-07-10 00:00:00,2024-07-12 00:00:00,2024-07-12 00:00:00,Closed,1475.2
245,84,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-22 00:00:00,Closed,1967.84
246,80,2025-06-24 00:00:00,2025-06-27 00:00:00,2025-06-27 00:00:00,Closed,158.42
247,179,2024-08-03 00:00:00,2024-08-05 00:00:00,2024-08-05 00:00:00,Closed,526.8
248,191,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-16 00:00:00,Late,415.2
249,69,2025-05-12 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,Closed,1309.44
250,52,2024-09-23 00:00:00,2024-09-25 00:00:00,2024-09-25 00:00:00,Closed,2332.59
251,195,2025-05-08 00:00:00,2025-05-14 00:00:00,2025-05-23 00:00:00,Late,1649.58
252,162,2025-01-22 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,Closed,3109.48
253,171,2024-12-12 00:00:00,2024-12-17 00:00:00,2024-12-17 00:00:00,Closed,1655.84
254,109,2025-04-10 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,Closed,745.61
255,197,2025-06-08 00:00:00,2025-06-12 00:00:00,2025-06-12 00:00:00,Closed,2213.61
256,108,2025-04-05 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,Closed,1240.02
257,81,2025-01-06 00:00:00,2025-01-12 00:00:00,2025-01-12 00:00:00,Closed,2067.12
258,49,2025-01-17 00:00:00,2025-01-20 00:00:00,2025-01-20 00:00:00,Closed,3643.36
259,196,2025-06-26 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,Closed,2746.16
260,180,2024-07-29 00:00:00,2024-07-31 00:00:00,2024-07-31 00:00:00,Closed,3986.55
261,51,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,Closed,4582.4
262,77,2025-06-10 00:00:00,2025-06-12 00:00:00,2025-06-12 00:00:00,Closed,287.24
263,52,2025-05-13 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,Closed,3110.12
264,108,2025-02-01 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,Closed,1240.02
265,56,2024-10-28 00:00:00,2024-11-01 00:00:00,2024-11-01 00:00:00,Closed,3999.12
266,57,2024-11-11 00:00:00,2024-11-19 00:00:00,2024-11-27 00:00:00,Late,2861.45
267,184,2024-12-17 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,Closed,1689.39
268,51,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,Closed,106.56
269,75,2024-10-27 00:00:00,2024-10-30 00:00:00,2024-10-30 00:00:00,Closed,2174.73
270,151,2025-01-22 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,Closed,2393
